Date,U1,U3
"24/06/20" "16:17:30",-0.40199,1.32718
,-0.26333,1.54945
,-0.34773,1.20926
,-0.24305,1.46689
,-0.34473,0.93647
,-0.244,1.31108
,-0.3344,0.83654
,-0.21097,1.11422
,-0.32741,0.77118
,-0.24498,0.98967
,-0.35681,0.61474
,-0.25887,0.90837
,-0.37421,0.58996
,-0.25027,0.83275
,-0.37232,0.53234
,-0.25347,0.82296
,-0.38167,0.52002
,-0.29147,0.8086
,-0.35231,0.62863
,-0.2653,0.76408
,-0.30058,0.68531
,-0.18875,0.88279
,-0.26996,0.73835
,-0.15963,0.96915
,-0.21736,0.76692
,-0.12223,0.98825
,-0.16449,0.84901
,-0.08656,1.03229
,-0.15225,0.85469
,-0.04658,1.01051
,-0.12724,0.83086
,-0.04658,1.01082
,-0.11457,0.75998
,-0.0411,0.92368
,-0.09808,0.68531
,0.00309,0.88122
,-0.09689,0.60401
,0.01095,0.80639
,-0.09042,0.5276
,0.01339,0.7434
,-0.05096,0.49477
,0.04536,0.65026
,-0.05025,0.42073
,0.04413,0.58585
,-0.0162,0.38047
,0.05901,0.53913
,-0.00472,0.32411
,0.0815,0.49571
,0.01016,0.30107
,0.09413,0.47156
,0.03304,0.25465
,0.10036,0.42594
,0.03959,0.16152
,0.12159,0.37463
,0.05139,0.07185
,0.21444,0.28623
,0.19005,-0.26693
,0.40076,0.23445
,0.31446,-0.85576
,0.52174,-0.11806
,0.31762,-1.27252
,0.54696,-0.67469
,0.41173,-1.45848
,0.59052,-1.08971
,0.51409,-1.62945
,0.62583,-1.3816
,0.51421,-1.70049
,0.64189,-1.48911
,0.45798,-1.64855
,0.54838,-1.38776
,0.40187,-1.42296
,0.51156,-1.13612
,0.40159,-1.20574
,0.503,-1.03257
,0.39078,-1.237
,0.49349,-1.06761
,0.37949,-1.39755
,0.53579,-1.09997
,0.4171,-1.49858
,0.57872,-1.1055
,0.42428,-1.52857
,0.59892,-1.20527
,0.44791,-1.49921
,0.56637,-1.33835
,0.4386,-1.48563
,0.5747,-1.27426
,0.40763,-1.51026
,0.55781,-1.22626
,0.40865,-1.48706
,0.55272,-1.19959
,0.43178,-1.42959
,0.52458,-1.29115
,0.40459,-1.57593
,0.54838,-1.30504
,0.42392,-1.57499
,0.5889,-1.2973
,0.42428,-1.57877
,0.53816,-1.3775
