Date,U1
"24/06/20" "13:05:51",2.46773
,2.5465
,2.40885
,2.50293
,0.78474
,2.42843
,0.77353
,0.81884
,0.75459
,0.80147
,0.71734
,0.79484
,0.72776
,0.77906
,0.69208
,0.75222
,0.68182
,0.73723
,0.6684
,0.73486
,0.595
,0.7025
,0.50929
,0.63462
,0.46525
,2.07942
,1.88527
,2.00413
,1.76562
,1.89632
,1.70232
,1.84675
,1.59467
,1.76435
,1.50943
,1.67233
,1.41203
,1.61992
,1.27707
,1.4938
,1.16105
,1.38031
,1.10423
,1.33137
,-0.55288
,1.10738
,-0.59044
,-0.4247
,-0.5996
,-0.4618
,-0.61144
,-0.47821
,-0.60655
,-0.49574
,-0.63259
,-0.48926
,-0.65043
,-0.52478
,-0.64522
,-0.52604
,-0.66969
,-0.55288
,-0.69352
,-0.5655
,-0.7232
,0.97447
,0.79153
,0.92475
,0.70282
,0.87314
,0.63526
,0.8261
,0.5658
,0.73486
,0.49777
,0.6493
,0.4752
,0.57101
,0.4059
,0.51971
,0.38712
,0.46588
,0.33818
,0.43305
,-1.34354
,0.37449
,-1.31987
,-1.19359
,-1.33265
,-1.22816
,-1.33423
,-1.23842
,-1.33471
,-1.25799
,-1.33897
,-1.27362
,-1.37575
,-1.27488
,-1.39516
,-1.28782
,-1.41473
,-1.30266
,-1.39848
,-1.29067
,-1.37622
,0.24616
,0.1153
,0.21538
,0.0921
,0.16755
,0.04806
,0.12872
,-0.00372
,0.07647
,-0.0416
,0.04821
,-0.08691
,-0.00309
,-0.13031
,-0.03766
,-0.07838
,0.03795
,-0.10553
,-0.00672
,-1.81709
,-0.06717
,-1.8957
,-1.69855
,-1.98394
,-1.81978
,-2.15268
,-1.94937
,-2.22987
,-2.0826
,-2.32884
,-2.17888
,-2.38188
,-2.25986
,-2.41739
,-2.31085
,-2.45496
,-2.36736
,-2.499
,-2.40982
,-2.48637
,-0.85058
,-1.07883
,-0.93756
,-1.18206
,-1.05026
,-1.3055
,-1.1426
,-1.42736
,-1.28277
,-1.53817
,-1.39832
,-1.63304
,-1.52081
,-1.72649
,-1.61994
,-1.79799
,-1.70392
,-1.86603
,-1.77005
,-3.51839
,-1.84109
,-3.50229
,-3.45052
,-3.50703
,-3.45162
,-3.51871
,-3.46551
,-3.53386
,-3.46078
,-3.55454
,-3.49219
,-3.5607
,-3.50087
,-3.57948
,-3.51792
,-3.58106
,-3.53749
,-3.60821
,-3.54097
,-3.59416
,-1.95221
,-2.08654
,-2.00304
,-2.12127
,-2.04992
,-2.18914
,-2.09112
,-2.24629
,-2.15931
,-2.2878
,-2.21014
,-2.33942
,-2.26775
,-2.38188
,-2.28606
,-2.42544
,-2.36104
,-2.47517
,-2.3994
,-4.11254
,-2.46364
,-4.11996
,-4.07181
,-4.13685
,-4.08018
,-4.15674
,-4.10402
,-4.17189
,-4.12943
,-4.17457
,-4.12091
,-4.17379
,-4.12012
,-4.15342
,-4.10496
,-4.13985
,-4.08634
,-4.11712
,-4.05508
,-4.07939
,-2.44912
,-2.51668
,-2.44628
,-2.51668
,-2.47454
,-2.59561
,-2.47943
,-2.68574
,-2.56309
,-2.77224
,-2.63412
,-2.8548
,-2.72394
,-2.92141
,-2.82275
,-2.96624
,-2.88842
,-3.02369
,-2.94382
,-4.64213
,-2.99718
,-4.65144
,-4.60093
,-4.66928
,-4.59966
,-4.67922
,-4.58183
,-4.68569
,-4.55894
,-4.63944
,-4.53605
,-4.74488
,-4.54615
,-4.71426
,-4.53621
,-4.72105
,-4.48207
,-4.72405
,-4.4939
,-4.62965
,-2.81975
,-3.09631
,-2.86948
,-3.05621
,-2.93246
,-3.07784
,-2.90357
,-3.10278
,-2.97887
,-3.15692
,-3.02322
,-3.25463
,-3.05779
,-3.26868
,-3.08557
,-3.30593
,-3.19417
,-3.34886
,-3.20585
,-4.94488
,-3.3004
,-4.9815
,-4.84086
,-4.96935
,-4.85317
,-4.96319
,-4.85191
,-4.93273
,-4.81402
,-4.88774
,-4.77693
,-4.88285
,-4.71347
,-4.83154
,-4.64512
,-4.79271
,-4.64718
,-4.76651
,-4.6355
,-4.74331
,-3.00744
,-3.15471
,-2.99323
,-3.18691
,-2.98044
,-3.14492
,-2.98549
,-3.10988
,-3.00223
,-3.10814
,-2.99165
,-3.07657
,-2.96434
,-3.06189
,-2.9615
,-3.06316
,-2.93419
,-3.0259
,-2.90752
,-4.60361
,-2.95598
,-4.53005
,-4.44071
,-4.4636
,-4.39541
,-4.40882
,-4.35452
,-4.3681
,-4.28617
,-4.31995
,-4.2164
,-4.26013
,-4.14616
,-4.19131
,-4.07466
,-4.15011
,-4.03283
,-4.09833
,-3.98184
,-4.0273
,-2.32426
,-2.41045
,-2.33815
,-2.39829
,-2.30927
,-2.37793
,-2.30216
,-2.3953
,-2.31495
,-2.38772
,-2.32032
,-2.41945
,-2.32805
,-2.42181
,-2.31684
,-2.41708
,-2.30879
,-2.41534
,-2.32979
,-3.99179
