Date,U1
,2.94689
,3.03008
,2.92716
,3.00703
,2.92811
,2.98494
,2.92669
,2.96836
,2.90159
,2.97373
,2.8675
,2.95052
,2.81967
,2.90554
,2.77673
,2.86765
,2.73885
,2.8334
,2.73506
,2.7922
,2.68534
,2.77421
,2.65329
,2.72511
,2.60846
,2.70791
,2.56979
,2.68502
,2.56616
,2.66245
,2.53238
,2.61494
,2.53554
,2.60878
,2.51786
,2.58763
,2.51944
,2.58921
,2.5117
,2.57611
,2.48771
,2.56095
,2.48582
,2.54817
,2.46514
,2.55622
,2.43641
,2.54217
,2.41841
,2.54154
,2.41099
,2.51644
,2.39284
,2.49102
,2.37595
,2.44714
,2.3316
,2.41273
,2.30792
,2.36743
,2.25883
,2.34738
,2.2241
,2.31265
,2.16885
,2.27035
,2.14518
,2.22663
,2.1024
,2.19395
,2.07399
,2.1526
,2.02647
,2.11645
,2.00943
,2.07825
,1.96396
,2.0462
,1.93618
,2.01463
,1.89672
,1.98575
,1.86294
,1.95449
,1.84289
,1.90809
,1.80375
,1.88614
,1.77865
,1.85473
,1.75655
,1.80975
,1.70714
,1.79033
,1.69041
,1.75071
,1.63027
,1.72687
,1.6088
,1.69025
,1.57597
,1.64432
,1.53761
,1.61512
,1.50778
,1.5785
,1.47542
,1.53982
,1.43675
,1.51457
,1.39697
,1.48568
,1.36429
,1.44069
,1.33809
,1.41165
,1.29705
,1.37029
,1.2609
,1.34804
,1.2257
,1.30826
,1.19871
,1.26943
,1.107
,1.2388
,0.97299
,1.15546
,0.91127
,1.01071
,0.81829
,0.94568
,0.76747
,0.87244
,0.73211
,0.80882
,0.66234
,0.88001
,0.76352
,0.88522
,0.68317
,0.7932
,0.56431
,0.72153
,0.5288
,0.66644
,0.50733
,0.61861
,0.48381
,0.59636
,0.46929
,0.5419
,0.45161
,0.5187
,0.4183
,0.47402
,0.34838
,0.45192
,0.3086
,0.42698
,0.27419
,0.39857
,0.21815
,0.36132
,0.1951
,0.31617
,0.15075
,0.28224
,0.1326
,0.21089
,0.08477
,0.16748
,0.01295
,0.14554
,-0.02336
,0.1307
,-0.06929
,0.08019
,-0.08697
,0.02763
,-0.12549
,-0.03899
,-0.16179
,-0.08603
,-0.21878
,-0.09597
,-0.25256
,-0.13575
,-0.26818
,-0.1498
,-0.2887
,-0.17647
,-0.34237
,-0.23014
,-0.33306
,-0.24845
,-0.36952
,-0.29155
,-0.39952
,-0.32122
,-0.41072
,-0.34379
,-0.45524
,-0.36431
,-0.51506
,-0.35737
,-0.53574
,-0.39273
,-0.55547
,-0.42398
,-0.58357
,-0.46629
,-0.58104
,-0.49501
,-0.60551
,-0.54095
,-0.63455
,-0.56321
,-0.65365
,-0.56636
,-0.6737
,-0.60677
,-0.68049
,-0.6063
,-0.65176
,-0.59114
,-0.62556
,-0.57047
,-0.6988
,-0.58341
,-0.79651
,-0.66423
,-0.89343
,-0.76573
,-1.02444
,-0.85444
,-1.17077
,-0.99682
,-1.28584
,-1.15482
,-1.37487
,-1.26548
,-1.41212
,-1.33967
,-1.48836
,-1.40091
