Date,U1
"24/06/20" "12:25:19",-0.51269
,-0.42493
,-0.561
,-0.45382
,-0.57378
,-0.48681
,-0.60346
,-0.53006
,-0.61908
,-0.52895
,-0.65097
,-0.57568
,-0.64797
,-0.58909
,-0.66123
,-0.57394
,-0.67859
,-0.60756
,-0.75483
,-0.6344
,-0.80566
,-0.71427
,-0.89548
,-0.7692
,-1.00818
,-0.88064
,-1.10431
,-0.99445
,-1.13778
,-1.06895
,-1.19855
,-1.12262
,-1.24843
,-1.15909
,-1.32372
,-1.23817
,-1.39776
,-1.29373
,-1.48236
,-1.38071
,-1.57218
,-1.44858
,-1.68993
,-1.57044
,-1.78496
,-1.67683
,-1.89798
,-1.77959
,-1.9908
,-1.87809
,-2.05788
,-1.95938
,-2.10176
,-2.02552
,-2.17138
,-2.0713
,-2.20405
,-2.12497
,-2.24635
,-2.17138
,-2.28582
,-2.21447
,-2.31628
,-2.24777
,-2.35022
,-2.28724
,-2.39978
,-2.31833
,-2.42583
,-2.36664
,-2.48344
,-2.39978
,-2.52559
,-2.45645
,-2.56647
,-2.48707
,-2.59946
,-2.52701
,-2.80514
,-2.55953
,-2.8214
,-2.76489
,-2.84523
,-2.7952
,-2.87791
,-2.82061
,-2.91264
,-2.8446
,-2.93947
,-2.85234
,-2.96015
,-2.88927
,-2.97215
,-2.9229
,-3.02124
,-2.95178
,-3.03734
,-2.99125
,-3.06559
,-3.01871
,-3.09953
,-3.05454
,-3.14168
,-3.07585
,-3.1693
,-3.0888
,-3.21713
,-3.13094
,-3.24854
,-3.19519
,-3.28374
,-3.21902
,-3.30568
,-3.25801
,-3.36787
,-3.27569
,-3.36188
,-3.2517
,-3.30773
,-3.25343
,-3.31594
,-3.21208
,-3.2899
,-3.22013
,-3.27474
,-3.21302
,-3.30994
,-3.21839
,-3.39913
,-3.29148
,-3.46337
,-3.32762
,-3.50583
,-3.39187
,-3.55871
,-3.44569
,-3.58365
,-3.50063
,-3.61854
,-3.52415
,-3.63669
,-3.57971
,-3.68594
,-3.59612
,-3.72856
,-3.62454
,-3.7636
,-3.64443
,-3.78033
,-3.68357
,-3.80417
,-3.74071
,-3.83984
,-3.76013
,-3.84584
,-3.76313
,-3.88073
,-3.72919
,-3.83811
,-3.7404
,-3.86289
,-3.68673
,-3.83906
,-3.65863
,-3.8801
,-3.59691
,-3.87931
,-3.72761
,-3.93724
,-3.73614
,-3.96707
,-3.70315
,-4.04521
,-3.75508
,-4.07725
,-3.7726
,-4.04268
,-3.82958
,-4.09793
,-3.80717
,-4.10693
,-3.81285
,-4.13992
,-3.81522
,-4.10298
,-3.81632
,-4.11561
,-3.88231
,-4.14292
,-3.86368
,-4.13928
,-3.89541
,-4.17938
,-3.88925
,-4.14118
,-3.91419
,-4.15681
,-3.95776
,-4.1647
,-3.9224
,-4.204
,-3.87126
,-4.18238
,-3.85326
,-4.11024
,-3.83827
,-4.02942
,-3.80764
,-3.96786
,-3.80117
,-3.92035
,-3.76218
,-3.92429
,-3.7153
,-3.87078
,-3.70883
,-3.84332
,-3.68057
,-3.76818
,-3.65705
,-3.71846
,-3.62706
,-3.68799
,-3.60339
,-3.6378
,-3.56582
,-3.61901
,-3.5243
,-3.59376
,-3.48595
,-3.53204
,-3.46022
,-3.48752
,-3.40797
,-3.46322
,-3.34877
,-3.42754
,-3.31784
,-3.3854
,-3.30631
,-3.34372
,-3.2427
,-3.31263
,-3.22439
,-3.28674
,-3.20892
,-3.29226
,-3.21523
,-3.29132
,-3.19077
,-3.285
,-3.19724
,-3.26527
,-3.19819
,-3.25991
,-3.18082
,-3.26732
,-3.1783
,-3.2397
,-3.16709
,-3.22297
,-3.15983
,-3.21602
,-3.14594
,-3.20845
,-3.12731
,-3.16993
,-3.09385
,-3.15478
,-3.06591
,-3.16251
,-3.03592
,-3.10174
,-3.01287
,-3.05944
,-2.98462
,-3.06275
,-2.94894
,-2.99267
,-2.79109
,-2.80372
,-2.6806
,-2.77768
,-2.65992
,-2.70806
,-2.63956
,-2.71801
,-2.56742
,-2.66387
,-2.56947
,-2.59962
,-2.51612
,-2.62472
,-2.46087
,-2.53254
,-2.48976
,-2.51454
,-2.4012
,-2.49323
,-2.34075
,-2.43372
,-2.33775
,-2.39694
,-2.27982
,-2.33364
,-2.24493
,-2.30239
,-2.22552
,-2.23436
,-2.16112
,-2.18606
,-2.07398
,-2.14044
,-2.02284
,-2.05867
,-1.95623
,-1.95733
,-1.75276
,-1.75749
,-1.60485
,-1.6118
,-1.41465
,-1.48726
,-1.26927
,-1.36019
,-1.12736
,-1.15956
,-0.9583
,-0.9875
,-0.81671
,-0.88474
,-0.73558
,-0.76131
,-0.66833
,-0.68017
,-0.5782
,-0.61056
,-0.54568
,-0.58546
,-0.42809
,-0.56115
,-0.43724
,-0.52043
,-0.35548
,-0.46376
,-0.33353
,-0.36495
,-0.28539
,-0.29739
,-0.23188
,-0.24482
,-0.16637
,-0.21136
,-0.09771
,-0.12959
,-0.0191
,-0.08492
,0.03962
,0.01468
,0.11523
,0.08145
,0.20836
,0.19321
,0.2925
,0.26771
,0.37158
,0.35185
,0.45792
,0.44751
,0.53922
,0.53148
,0.63692
,0.6093
,0.7269
,0.67718
,0.77299
,0.72642
,0.8194
,0.77694
,0.86786
,0.82934
,0.90622
,0.88017
,0.95783
,0.93179
,1.00282
,0.96446
,1.04686
,1.00266
,1.10305
,1.07685
,1.16146
,1.12989
,1.21671
,1.18293
,1.28016
,1.25064
,1.32436
,1.31173
,1.39144
,1.35561
,1.45174
,1.42396
,1.47763
,1.46074
,1.5253
,1.51236
,1.58876
,1.56003
,1.63343
,1.60359
,1.69594
,1.65237
,1.73745
,1.67636
,1.7335
,1.66452
,1.76302
,1.75908
,1.82174
,1.81716
,1.90667
,1.85363
,1.99269
,1.92798
,2.04321
,2.01858
,2.0953
,2.06136
,2.16885
,2.11897
,2.21053
,2.1477
,2.23989
,2.19174
,2.28614
,2.2402
,2.32828
,2.29876
,2.37864
,2.34833
,2.46893
,2.43767
,2.5518
,2.51202
,2.62283
,2.59947
,2.74185
,2.69575
,2.79236
,2.77136
,2.85408
,2.82046
,2.88975
,2.8686
,2.92432
,2.87681
,2.95163
,2.92495
,2.98651
,2.94768
,3.01887
,2.957
,3.01935
,2.98509
,3.05549
,3.01303
,3.05691
,3.03608
,3.08549
,3.06986
,3.12384
,3.0948
,3.16488
