Date,U1
"24/06/20" "12:23:50",-3.75618
,-3.64616
,-3.81143
,-3.67868
,-3.81048
,-3.71783
,-3.84884
,-3.67047
,-3.90504
,-3.6831
,-3.80307
,-3.70962
,-3.87173
,-3.62912
,-3.80101
,-3.63275
,-3.83542
,-3.57923
,-3.81112
,-3.68847
,-3.7756
,-3.70141
,-3.83274
,-3.72051
,-3.89178
,-3.72051
,-3.9898
,-3.75445
,-3.99391
,-3.73045
,-4.0078
,-3.77592
,-3.97859
,-3.7876
,-4.04457
,-3.79138
,-4.09477
,-3.81127
,-4.12776
,-3.78839
,-4.15996
,-3.78475
,-4.1467
,-3.84158
,-4.14434
,-3.8389
,-4.19927
,-3.87852
,-4.20274
,-3.85831
,-4.21758
,-3.88499
,-4.19501
,-3.86321
,-4.12776
,-3.83448
,-4.08656
,-3.81411
,-4.07157
,-3.77923
,-4.00701
,-3.72967
,-3.94434
,-3.73424
,-3.90725
,-3.69873
,-3.82848
,-3.70267
,-3.79801
,-3.67442
,-3.76455
,-3.65106
,-3.73503
,-3.59818
,-3.70488
,-3.40655
,-3.50015
,-3.37056
,-3.45027
,-3.33504
,-3.41839
,-3.33252
,-3.39597
,-3.31121
,-3.37119
,-3.24112
,-3.34262
,-3.23244
,-3.28784
,-3.21255
,-3.24207
,-3.16472
,-3.23086
,-3.11137
,-3.19866
,-3.097
,-3.17088
,-3.07633
,-3.17498
,-3.06938
,-3.17419
,-3.07585
,-3.13236
,-3.06322
,-3.16157
,-3.0517
,-3.1734
,-3.04633
,-3.11437
,-3.03971
,-3.13173
,-3.03576
,-3.16377
,-2.99519
,-3.09053
,-3.01698
,-3.10995
,-2.99756
,-3.09022
,-2.96852
,-3.0315
,-2.95368
,-3.01903
,-2.91927
,-3.02645
,-2.89038
,-2.94105
,-2.88659
,-2.91974
,-2.85881
,-2.90332
,-2.80262
,-2.88138
,-2.78241
,-2.84208
,-2.73143
,-2.76773
,-2.71406
,-2.75858
,-2.64161
,-2.74342
,-2.6053
,-2.66339
,-2.58857
,-2.65708
,-2.53111
,-2.60578
,-2.51296
,-2.55132
,-2.47618
,-2.54343
,-2.40689
,-2.46829
,-2.38384
,-2.42646
,-2.3439
,-2.39473
,-2.28376
,-2.363
,-2.23751
,-2.28724
,-2.20752
,-2.23909
,-2.13902
,-2.16364
,-2.07035
,-2.09687
,-2.01637
,-2.03105
,-1.76618
,-1.76918
,-1.62159
,-1.63248
,-1.44637
,-1.50304
,-1.26658
,-1.36619
,-1.12183
,-1.15625
,-0.9804
,-1.01702
,-0.8355
,-0.87006
,-0.74094
,-0.76683
,-0.67117
,-0.68033
,-0.62634
,-0.66391
,-0.57804
,-0.6325
,-0.51332
,-0.57173
,-0.48775
,-0.5329
,-0.47544
,-0.51617
,-0.37031
,-0.45176
,-0.346
,-0.37315
,-0.29928
,-0.30338
,-0.22493
,-0.2524
,-0.1558
,-0.19573
,-0.08729
,-0.13906
,-0.01105
,-0.03993
,0.06409
,0.03283
,0.13386
,0.12123
,0.23425
,0.20773
,0.29802
,0.27498
,0.38184
,0.36227
,0.45571
,0.44419
,0.51885
,0.49754
,0.57505
,0.55105
,0.66565
,0.61514
,0.74726
,0.70575
,0.85649
,0.78657
,0.90637
,0.87117
,0.96004
,0.9351
,1.04702
,1.00171
,1.08143
,1.04875
,1.1302
,1.08901
,1.17961
,1.12989
,1.24685
,1.18135
,1.26169
,1.22191
,1.32168
,1.28474
,1.35893
,1.33115
,1.41449
,1.39365
,1.4699
,1.45411
,1.52625
,1.50415
,1.58402
,1.56176
,1.64716
,1.61685
,1.68189
,1.64842
,1.71661
,1.66153
,1.72924
,1.64621
,1.7395
,1.64069
,1.85915
,1.73208
,1.88504
,1.66042
,1.92845
,1.70541
,1.83548
,1.81353
,1.90524
,1.88946
,1.96223
,1.95465
,2.02426
,1.99869
,2.07556
,2.02995
,2.14044
,2.0874
,2.19064
,2.14439
,2.23468
,2.20263
,2.31329
,2.27572
,2.39379
,2.36096
,2.47603
,2.45693
,2.57563
,2.5409
,2.66324
,2.61052
,2.73159
,2.67934
,2.78747
,2.73648
,2.80893
,2.77721
,2.85029
,2.79725
,2.87381
,2.82866
,2.89165
,2.84713
,2.89796
,2.83892
,2.93111
,2.8836
,2.95084
,2.91248
