Date,U1
"24/06/20" "12:38:14",2.23941
,2.33302
,2.32181
,2.37564
,2.35543
,2.40973
,2.384
,2.44493
,2.4342
,2.50665
,2.49118
,2.57105
,2.54059
,2.67192
,2.63609
,2.74043
,2.70886
,2.81304
,2.7911
,2.8776
,2.83687
,2.93411
,2.87839
,2.95021
,2.91848
,2.98604
,2.95447
,3.02487
,2.96773
,3.0375
,2.98572
,3.04918
,2.99425
,3.06339
,3.00467
,3.06891
,3.01603
,3.10001
,3.05218
,3.12479
,3.0667
,3.14941
,3.10017
,3.16425
,3.12447
,3.19219
,3.13205
,3.20987
,3.16599
,3.23797
,3.19109
,3.25154
,3.19961
,3.27727
,3.22897
,3.2888
,3.24476
,3.30726
,3.2708
,3.32715
,3.2768
,3.34073
,3.30569
,3.35288
,3.31042
,3.37309
,3.32384
,3.40197
,3.34799
,3.40592
,3.36756
,3.43733
,3.39755
,3.46748
,3.43512
,3.48311
,3.30932
,3.49858
,3.33757
,3.43686
,3.39045
,3.48011
,3.44017
,3.51342
,3.48137
,3.56929
,3.5232
,3.6176
,3.58019
,3.65816
,3.62123
,3.69273
,3.65895
,3.7213
,3.66495
,3.76645
,3.65248
,3.74024
,3.64901
,3.7213
,3.63038
,3.73141
,3.60576
,3.72541
,3.56945
,3.68879
,3.56993
,3.66748
,3.53472
,3.64238
,3.53204
,3.62423
,3.51768
,3.60276
,3.49858
,3.55998
,3.47695
,3.53709
,3.42328
,3.56929
,3.38871
,3.51436
,3.41208
,3.50884
,3.36598
,3.43686
,3.33347
,3.47174
,3.25612
,3.4206
,3.29669
,3.39929
,3.2154
,3.37861
,3.25028
,3.35067
,3.20498
,3.29243
,3.21682
,3.29574
,3.19724
,3.30853
,3.20119
,3.29258
,3.15462
,3.28832
,3.124
,3.2697
,3.10222
,3.23528
,3.11753
,3.17057
,3.1038
,3.1622
,3.09622
,3.16078
,3.0948
,3.16031
,3.08107
,3.1592
,3.05597
,3.13979
,3.02108
,3.11895
,3.00246
,3.0817
,2.96773
,3.04192
,2.94389
,3.02203
,2.89291
,2.98004
,2.85313
,2.93016
,2.83908
,2.90096
,2.78131
,2.86718
,2.7671
,2.82882
,2.72385
,2.79694
,2.6765
,2.78115
,2.66087
,2.72953
,2.62583
