Date,U1
"24/06/20" "12:27:06",3.20435
,3.2858
,3.23734
,3.31737
,3.25312
,3.31973
,3.2869
,3.36267
,3.31673
,3.38871
,3.35288
,3.42739
,3.39692
,3.49921
,3.46464
,3.56061
,3.53283
,3.63433
,3.58903
,3.6539
,3.61981
,3.72635
,3.59471
,3.75161
,3.67916
,3.82248
,3.69668
,3.83859
,3.75729
,3.86558
,3.79802
,3.88673
,3.78697
,3.86716
,3.77923
,3.84664
,3.75477
,3.85216
,3.73504
,3.82469
,3.70441
,3.82548
,3.67963
,3.78081
,3.64648
,3.7565
,3.65469
,3.72714
,3.64317
,3.70489
,3.61333
,3.67474
,3.59266
,3.65232
,3.56677
,3.65816
,3.55982
,3.62928
,3.51799
,3.58682
,3.52178
,3.60244
,3.41697
,3.5524
,3.41997
,3.54735
,3.34546
,3.53283
,3.34783
,3.51042
,3.29353
,3.50331
,3.31689
,3.44096
,3.24586
,3.45201
,3.27033
,3.40955
,3.23402
,3.38777
,3.24712
,3.37435
,3.1914
,3.32731
,3.15936
,3.30048
,3.16078
,3.27554
,3.16252
,3.28816
,3.15589
,3.28611
,3.16457
,3.27917
,3.15904
,3.27254
,3.12937
,3.24428
,3.13647
,3.23355
,3.11737
,3.18351
,3.06449
,3.14247
,3.03892
,3.09827
,2.97515
,3.06449
,2.95557
,3.02803
,2.90933
,3.0124
,2.88423
,2.9551
,2.85329
,2.91138
,2.80909
,2.88991
,2.79189
,2.87081
,2.76395
,2.84745
,2.72606
,2.81035
,2.69544
,2.78399
,2.68344
,2.76805
,2.67255
,2.89749
,2.84587
,2.90049
,2.8274
,2.91106
,2.83529
,2.88628
,2.77468
,2.8746
,2.78983
,2.85534
,2.76663
,2.86734
,2.75353
,2.85297
,2.72401
,2.84461
,2.71785
,2.82125
,2.67555
,2.77263
,2.63404
,2.71264
,2.58337
,2.66845
,2.54548
,2.62488
,2.50507
,2.58621
,2.44556
,2.55558
,2.40878
,2.51139
,2.36396
,2.46735
,2.31992
,2.41415
,2.3046
,2.36632
,2.24825
,2.34659
,2.21905
,2.30729
,2.17738
,2.26419
,2.15165
,2.24304
,2.09814
,2.19016
,2.07541
,2.16459
,2.026
,2.1376
,1.98464
,2.0904
,1.97691
,2.04684
,1.93808
,2.02837
