Date,U1
"24/06/20" "13:03:41",-5.065
,-4.9122
,-5.02459
,-4.84069
,-4.96776
,-4.80928
,-4.88647
,-4.76382
,-4.81859
,-4.73194
,-4.79239
,-4.69468
,-4.75482
,-2.95029
,-3.08525
,-2.95155
,-3.04216
,-2.93987
,-3.05542
,-2.97775
,-3.11524
,-2.97854
,-3.0622
,-2.98833
,-3.0963
,-3.01422
,-3.15439
,-3.0199
,-3.11208
,-3.02274
,-3.13071
,-3.03979
,-4.90415
,-3.05384
,-4.82996
,-4.74804
,-4.81339
,-4.7111
,-4.79208
,-4.67416
,-4.71378
,-4.63707
,-4.68316
,-4.58482
,-4.63928
,-4.54425
,-4.5804
,-4.4707
,-4.55451
,-4.42508
,-4.48774
,-4.36509
,-4.41529
,-2.54967
,-2.62954
,-2.55156
,-2.63049
,-2.51178
,-2.57603
,-2.49489
,-2.53893
,-2.44785
,-2.54146
,-2.42923
,-2.48558
,-2.40255
,-2.47532
,-2.35456
,-2.45085
,-2.33815
,-2.39908
,-2.29079
,-4.13416
,-2.32978
,-4.06707
,-3.92075
,-3.95942
,-3.83977
,-3.88791
,-3.74017
,-3.79873
,-3.61247
,-3.62857
,-3.36701
,-3.3738
,-3.15991
,-3.1697
,-2.96134
,-3.05699
,-2.76876
,-2.89409
,-2.64043
,-2.67973
,-0.7213
,-0.7666
,-0.59218
,-0.62611
,-0.47521
,-0.48689
,-0.33962
,-0.34325
,-0.22486
,-0.25817
,-0.12589
,-0.15951
,-0.05501
,-0.11168
,0.00528
,-0.04223
,0.0288
,0.00749
,0.09226
,-1.70738
,0.08089
,-1.63146
,-1.54937
,-1.55648
,-1.44093
,-1.50786
,-1.34354
,-1.41536
,-1.23604
,-1.25941
,-1.10692
,-1.15049
,-0.99943
,-1.037
,-0.88483
,-0.90298
,-0.78601
,-0.78775
,-0.66337
,-0.68199
,1.15995
,1.11733
,1.23809
,1.1789
,1.27818
,1.24488
,1.32317
,1.28955
,1.37021
,1.3227
,1.41425
,1.37779
,1.43887
,1.41409
,1.50107
,1.47755
,1.53106
,1.51654
,1.58883
,-0.1603
,1.61535
,-0.1019
,0.03464
,0.01365
,0.11767
,0.10536
,0.23275
,0.20686
,0.31735
,0.27836
,0.40717
,0.35808
,0.47141
,0.42643
,0.54371
,0.50283
,0.62074
,0.57765
,0.6954
,0.64868
,2.48526
,2.43711
,2.52977
,2.48636
,2.5776
,2.52125
,2.58028
,2.46237
,2.54208
,2.45037
,2.50388
,2.45984
,2.57681
,2.49662
,2.60838
,2.58928
,2.68257
,2.66284
,2.78012
,1.01899
,2.80569
,1.12759
,1.2624
,1.25356
,1.347
,1.32869
,1.44882
,1.41993
,1.51133
,1.49759
,1.57541
,1.57178
,1.66586
,1.63398
,1.77162
,1.75599
,1.87028
,1.85133
,1.98677
,1.97493
,3.81246
,3.77804
,3.89627
,3.86628
,3.94473
,3.92279
,3.99967
,3.96683
,4.03644
,3.98704
,4.03992
,4.0044
,4.06359
,4.02224
,4.08743
,4.03408
,4.08869
,4.04355
,4.09927
,2.31541
,4.09469
,2.33356
,2.41202
,2.38629
,2.45006
,2.42354
,2.51399
,2.47626
,2.55061
,2.50815
,2.59701
,2.58991
,2.64642
,2.61864
,2.70798
,2.67989
,2.76639
,2.73813
,2.80632
,2.79701
,4.58608
,4.55845
,4.61023
,4.57313
,4.61544
,4.57108
,4.63248
,4.58197
,4.63706
,4.57818
,4.64369
,4.58718
,4.64195
,4.59507
,4.65348
,4.61465
,4.66105
,4.62633
,4.68584
,2.91224
,4.69483
,2.98406
,3.13481
,3.11287
,3.22936
,3.20221
,3.3015
,3.28098
,3.43346
,3.29692
,3.49123
,3.42951
,3.52454
,3.4704
,3.63298
,3.549
,3.68223
,3.59668
,3.746
,3.62588
,5.47019
,5.34896
,5.44304
,5.2915
,5.42252
,5.24115
,5.40942
,5.20832
,5.40216
,5.18448
,5.33191
,5.15212
,5.28819
,5.1204
,5.24131
,5.09009
,5.19837
,5.05252
,5.14897
,3.28682
,5.10366
,3.26614
,3.35469
,3.25651
,3.34443
,3.26567
,3.36985
,3.2554
,3.33686
,3.21326
,3.34854
,3.20742
,3.29739
,3.1779
,3.34443
,3.16811
,3.30386
,3.16827
,3.33386
,3.16464
,5.01116
,4.91488
,5.01448
,4.83848
,4.96144
,4.88583
,4.95923
,4.83185
,4.94045
,4.83721
,4.91693
,4.75908
,4.91472
,4.67952
,4.84384
,4.66216
,4.79018
,4.61922
,4.74329
,2.83679
,4.72814
,2.83268
,2.97222
,2.82306
,2.93876
,2.81737
,2.92582
,2.83205
,2.89898
,2.84152
,2.89456
,2.8581
,2.91982
,2.83316
,2.92076
,2.8098
,2.90451
,2.78991
,2.87672
,2.8019
,4.60549
,4.43675
,4.5373
,4.41007
,4.48189
,4.33699
,4.46911
,4.27985
,4.38813
,4.24544
,4.3392
,4.22934
,4.31
,4.17219
,4.25554
,4.15231
,4.21655
,4.12989
,4.19903
,2.34303
,4.18861
,2.36719
,2.44138
,2.37571
,2.46032
,2.38771
,2.4619
,2.40965
,2.46158
,2.39797
,2.5083
,2.41659
,2.49694
,2.42543
,2.50625
,2.44232
,2.51462
,2.41265
,2.49836
,2.40412
,4.18766
,4.0355
,4.14678
,3.97788
,4.08112
,3.89785
,4.03802
,3.86502
,3.95547
,3.79872
,3.89738
,3.74063
,3.82871
,3.66613
,3.79209
,3.6052
,3.71427
,3.55137
,3.64877
,1.78346
,3.58689
,1.75094
,1.82813
,1.72774
,1.8144
,1.70122
,1.8084
,1.6938
,1.77604
,1.65749
,1.75173
,1.66491
,1.72269
,1.64376
,1.70911
,1.60825
,1.70406
,1.58851
,1.66776
,1.58552
,3.38816
,3.23046
,3.33465
,3.19637
,3.28476
,3.12549
,3.22936
,3.09108
,3.17743
,3.03726
,3.11555
,2.98201
,3.05841
,2.92234
,3.00963
,2.87893
,2.94933
,2.82369
,2.91871
,1.04472
,2.86741
,1.01789
,1.10013
,1.0111
,1.07345
,0.97748
,1.04788
,0.90376
,1.01505
,0.79232
,0.92081
,0.68309
,0.80353
,0.64079
,0.74797
,0.57496
,0.6954
,0.53566
,0.66446
,0.50977
,2.3394
,2.15077
,2.29047
,2.07201
,2.18992
,1.95315
,2.07722
,1.85339
,1.97304
,1.78456
,1.88796
,1.72316
,1.82229
,1.67786
,1.77967
,1.63666
,1.71811
,1.56831
,1.66839
,-0.2236
,1.59357
,-0.22186
,-0.15367
,-0.27158
,-0.18177
,-0.297
,-0.17893
,-0.3011
,-0.21097
,-0.33756
,-0.21523
,-0.37182
,-0.25611
,-0.42217
,-0.28768
,-0.46274
,-0.3232
,-0.46353
,-0.36203
,-0.49384
,1.3429
,1.18931
,1.31102
,1.1156
,1.25924
,1.06777
,1.21047
,1.02183
,1.18237
,0.97006
,1.09523
,0.90487
,1.03857
,0.87598
,0.98143
,0.83652
,0.91481
,0.78711
,0.85546
,-1.01284
,0.82705
,-1.06257
,-0.92082
,-1.10156
,-0.91735
,-1.1104
,-0.93613
,-1.11703
,-0.96044
,-1.09272
,-0.9868
,-1.10803
