Date,U1,U3
"24/06/20" "16:07:09",0.43107,-1.53299
,0.54092,-1.35334
,0.3804,-1.55983
,0.54151,-1.18333
,0.24758,-1.28199
,0.52182,-1.06272
,0.28586,-1.24852
,0.5339,-0.86586
,0.44784,-1.63561
,0.79322,-1.07771
,0.71004,-2.1013
,1.02208,-1.58177
,0.92864,-2.20297
,1.05621,-2.01353
,0.89632,-2.16966
,1.03447,-1.92513
,0.88488,-2.05994
,1.01841,-1.88156
,0.88689,-2.21702
,1.05909,-1.93255
,1.03865,-2.42887
,1.20805,-2.16113
,1.18911,-2.45792
,1.3063,-2.34268
,1.19017,-2.43108
,1.31482,-2.29074
,1.15285,-2.31189
,1.25761,-2.16697
,1.01987,-2.18434
,1.1983,-2.06168
,1.00046,-2.08473
,1.09228,-1.92292
,0.98274,-1.96128
,1.05882,-1.87287
,0.9649,-1.91076
,1.04043,-1.78605
,0.93089,-1.83167
,1.02713,-1.74216
,0.94135,-1.82094
,0.99781,-1.75037
,0.92481,-1.85582
,0.99833,-1.78384
,0.91629,-1.86703
,1.00586,-1.78289
,0.92588,-1.92213
,1.00768,-1.81052
,0.92138,-1.93555
,0.99963,-1.84572
,0.94016,-1.97454
,1.02247,-1.83467
,0.96025,-2.20391
,1.04276,-1.96159
,0.92296,-2.28285
,1.04082,-2.11046
,0.84822,-2.21197
,1.0164,-1.93034
,0.77215,-2.24196
,0.91132,-2.10241
,0.72586,-2.22838
,0.84554,-2.10083
,0.7624,-2.1766
,0.94596,-1.86214
,0.87344,-1.93902
,1.03175,-1.74469
,0.9666,-1.86656
,1.09721,-1.64871
,0.98925,-1.72527
,1.09172,-1.56015
,0.96846,-1.60766
,1.09058,-1.24505
,0.81555,-1.38018
,0.99174,-1.09445
,0.87052,-1.48832
,1.07018,-1.20937
,0.77637,-1.58572
,1.08387,-1.07629
,0.76769,-1.28988
,1.10759,-1.01473
,0.71497,-1.16991
,0.96755,-0.77477
,0.63617,-1.10945
,0.88429,-0.77635
,0.69477,-1.08813
,0.86744,-0.77809
,0.6505,-1.15712
,0.95232,-0.68684
,0.72275,-1.35903
,0.94174,-0.87533
,0.73012,-1.43228
,1.01048,-0.98915
,0.75818,-1.36692
,1.02267,-0.87928
,0.72602,-1.37797
,1.0218,-0.81503
,0.60938,-1.41712
,1.02468,-0.73247
,0.59419,-1.37655
,1.04698,-0.72599
,0.57047,-1.34245
,0.93669,-0.7342
,0.52888,-1.21348
,0.81429,-0.70484
,0.48323,-1.0714
,0.76599,-0.71368
,0.43229,-0.93611
,0.65255,-0.64185
,0.35132,-0.90738
,0.54778,-0.58692
,0.31794,-0.85008
,0.45841,-0.63428
,0.2537,-0.78898
,0.43572,-0.61644
,0.23093,-0.79293
,0.38182,-0.6027
