Date,U1,U2
"24/06/20" "13:51:29",0.02198,-0.93
,0.22082,1.21
,-0.00781,-0.9
,0.19284,0.92
,0.03161,-0.85
,0.16155,0.86
,0.0253,-1.06
,0.1314,0.92
,0.01263,-0.9
,0.15011,0.99
,0.04665,-0.9
,0.15011,0.94
,-0.00283,-0.95
,0.19111,1.02
,0.00971,-0.79
,0.20373,0.94
,0.02266,-0.98
,0.17019,0.89
,0.047,-0.85
,0.16163,0.89
,0.02861,-1.03
,0.16198,0.89
,-0.01021,-1.06
,0.16759,1.02
,-0.01152,-1.06
,0.16952,1.18
,0.00099,-0.93
,0.1606,0.99
,0.00888,-1
,0.12864,0.89
,0.00348,-1.19
,0.13377,0.86
,-0.00437,-0.95
,0.13989,0.92
,-0.03132,-0.95
,0.17138,0.99
,-0.05117,-1
,0.13788,0.94
,-0.00741,-1.06
,0.13211,1.05
,0.09672,-0.93
,0.21778,0.89
,0.1666,-0.93
,0.32183,0.92
,0.26343,-0.87
,0.3478,0.97
,0.28458,-0.95
,0.36255,0.97
,0.2982,-0.87
,0.38189,1.1
,0.32286,-0.93
,0.41385,0.84
,0.37195,-0.98
,0.45678,0.84
,0.41428,-1.14
,0.49387,0.78
,0.42494,-1.16
,0.49892,0.94
,0.40442,-0.98
,0.49667,0.86
,0.36985,-0.95
,0.46313,0.97
,0.35849,-0.85
,0.43599,0.84
,0.35411,-0.98
,0.42529,0.81
,0.34594,-0.9
,0.42383,0.97
,0.34981,-0.95
,0.42202,0.89
,0.34697,-1
,0.41934,0.84
,0.3435,-1.08
,0.42529,0.92
,0.34965,-0.9
,0.42427,0.89
,0.35474,-1.14
,0.42498,0.86
,0.35226,-0.87
,0.41578,0.86
,0.34436,-0.85
,0.42529,1.05
,0.34476,-1
,0.42403,0.86
,0.34705,-0.93
,0.4234,0.89
,0.31824,-0.93
,0.39882,0.92
,0.23857,-0.77
,0.36618,0.99
,0.19545,-1.03
,0.29776,0.97
,0.18637,-0.9
,0.31883,0.94
,0.237,-0.9
,0.441,1.1
,0.33647,-1
,0.50607,1.15
,0.41227,-0.95
,0.50997,0.84
,0.44068,-1.06
,0.55034,0.89
,0.45173,-1.11
,0.57654,0.89
,0.44431,-1.11
,0.58001,1.15
,0.461,-0.98
,0.62164,0.92
,0.37309,-0.9
,0.62022,0.97
,0.30976,-0.95
,0.5621,0.94
,0.33758,-0.82
,0.54781,1.05
,0.40497,-1
,0.54545,0.86
,0.42616,-0.82
,0.63908,1.05
,0.35786,-0.85
,0.79076,0.92
,0.33919,-0.93
,0.69772,1.02
,0.34993,-0.93
,0.65885,0.78
,0.2718,-0.9
,0.65404,1.07
,0.2647,-1.14
,0.59019,0.94
,0.25842,-0.82
,0.56226,1.07
,0.23045,-0.95
,0.58972,0.84
,0.21632,-0.85
,0.5853,0.94
,0.21076,-1.03
,0.48799,0.86
,0.2031,-1
,0.42458,0.99
,0.19418,-0.95
,0.37581,1.07
,0.16846,-0.95
,0.31217,0.92
,0.14194,-0.95
,0.2935,0.86
,0.13874,-0.93
,0.25929,1.02
,0.10899,-1.03
,0.2192,1.15
,0.06709,-1.03
,0.24134,1.02
,0.05793,-0.87
,0.19174,1.02
,0.0747,-0.98
,0.20223,0.97
,0.1228,-0.85
,0.24067,1.02
,0.1522,-1.03
,0.24465,0.86
,0.17505,-0.95
,0.27148,0.81
,0.19651,-0.95
,0.2748,0.97
,0.20243,-0.9
,0.28304,0.92
,0.19777,-0.9
,0.28202,1.02
,0.17303,-0.87
,0.31173,1.18
,0.14514,-0.82
,0.28995,1.02
,0.11665,-1.08
,0.25641,1.05
,0.10011,-0.85
,0.22634,0.84
,0.09049,-1.08
,0.20018,0.94
,0.06306,-0.9
,0.17276,0.89
,0.03927,-1.03
,0.13957,1.02
,0.02451,-0.77
,0.1466,0.86
,-0.00426,-1.03
,0.09242,0.76
,-0.02225,-0.82
,0.07356,0.76
,-0.0722,-0.98
,0.07458,0.99
,-0.25348,-1
,0.00036,0.94
,-0.40942,-0.9
,-0.20774,0.86
,-0.46462,-0.98
,-0.22246,0.89
,-0.46652,-0.87
,-0.3264,0.89
,-0.47934,-0.95
,-0.36495,0.94
,-0.50215,-1.11
,-0.3904,0.92
,-0.50862,-1.06
,-0.41364,0.97
,-0.48628,-1.08
,-0.41096,0.84
,-0.48273,-0.98
,-0.39265,0.97
,-0.45866,-0.85
,-0.36463,0.92
,-0.46107,-1.19
,-0.37584,0.92
,-0.4694,-0.93
,-0.37623,0.94
,-0.50191,-1.03
,-0.38902,0.89
,-0.50988,-0.93
,-0.40634,1.15
,-0.50759,-1
,-0.40247,1.23
,-0.49335,-1.08
,-0.39904,0.81
,-0.49836,-0.85
,-0.39659,0.97
,-0.48269,-0.9
,-0.39446,0.99
,-0.49311,-1.11
,-0.40105,1.05
,-0.5038,-1.06
,-0.41644,1.02
,-0.50546,-0.98
,-0.42181,0.86
,-0.48494,-1
,-0.41183,0.89
,-0.48336,-0.87
,-0.39482,0.97
,-0.48498,-0.85
,-0.3949,0.89
,-0.47472,-1.14
,-0.38101,0.86
,-0.46734,-0.87
,-0.30391,0.92
,-0.48861,-1
,-0.35043,0.86
,-0.47275,-0.82
,-0.34707,0.86
,-0.47433,-1.14
,-0.37829,0.99
,-0.46537,-0.93
,-0.36463,0.89
,-0.46352,-1.08
,-0.36586,0.89
,-0.46214,-0.98
,-0.37896,1.02
,-0.49031,-0.93
,-0.39395,0.99
,-0.51967,-1
,-0.4228,1.1
,-0.50369,-1
,-0.43878,1.1
,-0.49962,-0.95
,-0.40074,0.86
,-0.47192,-0.98
,-0.36996,1.02
,-0.43183,-1.06
,-0.36045,0.81
,-0.42291,-0.95
,-0.33204,1.02
,-0.40859,-0.82
,-0.33689,0.89
,-0.40835,-0.87
,-0.33488,0.89
,-0.41104,-1.03
,-0.33109,0.94
,-0.41364,-0.98
,-0.32955,1.18
,-0.41924,-0.98
,-0.34439,0.92
,-0.41155,-1
,-0.33614,1.05
,-0.4076,-0.82
,-0.31945,0.99
,-0.40393,-0.82
,-0.32825,1.07
,-0.41072,-0.93
,-0.3333,0.94
,-0.4546,-0.93
,-0.34325,0.86
,-0.49966,-1.06
,-0.40445,1.07
,-0.58813,-0.93
,-0.40674,0.97
,-0.62198,-0.95
,-0.44418,1.13
,-0.6088,-1.03
,-0.48041,1.02
,-0.54401,-1.03
,-0.35623,1.18
,-0.46123,-0.87
,-0.26109,0.86
,-0.38559,-1.06
,-0.17381,0.84
,-0.33898,-1.03
,-0.16907,1.13
,-0.26378,-0.79
,-0.16032,0.94
,-0.23959,-1.11
,-0.12287,0.81
,-0.20605,-1.03
,-0.08988,0.94
,-0.22503,-0.85
,-0.07686,0.97
,-0.23718,-0.82
,0.0004,0.81
,-0.2328,-1.27
,0.02601,0.94
,-0.19445,-0.98
,-0.01136,1.15
,-0.19058,-0.9
,-0.02079,0.84
,-0.14544,-1.19
,-0.06139,1.21
,-0.14895,-0.98
,0.01472,0.89
,-0.12603,-1.08
,0.02494,1.02
,-0.11983,-0.93
