Date,U1,U3
"24/06/20" "14:04:32",0.9083,-1.841
,1.01993,-1.7406
,0.97202,-1.78732
,1.07805,-1.65945
,0.97198,-1.73223
,1.06897,-1.55795
,0.95403,-1.60499
,1.07099,-1.3794
,0.90411,-1.56126
,1.03914,-1.17055
,0.82575,-1.61273
,1.05639,-1.12272
,0.8381,-1.4506
,1.03476,-1.04094
,0.81052,-1.38588
,0.94243,-1.031
,0.74442,-1.19581
,0.90861,-0.91134
,0.74194,-1.17687
,0.88261,-0.94591
,0.73993,-1.30616
,0.93004,-0.87345
,0.80184,-1.19944
,0.97459,-0.96264
,0.78085,-1.28705
,0.94271,-1.02737
,0.7838,-1.32794
,0.92937,-1.08199
,0.76127,-1.29621
,0.9008,-1.049
,0.69893,-1.24727
,0.86612,-0.93139
,0.62486,-1.23401
,0.83344,-0.90013
,0.66081,-1.23291
,0.85144,-0.82735
,0.60375,-1.2116
,0.82082,-0.75363
,0.55234,-1.12745
,0.79852,-0.72395
,0.49406,-1.01695
,0.6979,-0.66018
,0.45519,-0.98853
,0.64815,-0.62371
,0.42015,-0.88261
,0.54721,-0.59908
,0.37537,-0.81173
,0.53056,-0.59987
,0.36357,-0.77715
,0.49844,-0.57383
,0.34917,-0.77858
,0.46462,-0.57698
,0.2983,-0.78189
,0.4316,-0.64518
,0.27072,-0.81031
,0.4052,-0.60998
,0.2809,-0.77731
,0.36913,-0.62703
,0.27222,-0.72569
,0.37312,-0.54746
,0.29996,-0.63602
,0.38701,-0.48053
,0.29807,-0.57177
,0.39869,-0.40081
,0.3,-0.57225
,0.3919,-0.41438
,0.303,-0.53452
,0.39806,-0.34919
,0.28493,-0.5061
,0.42449,-0.30404
,0.27305,-0.52268
,0.38278,-0.34224
,0.25407,-0.47579
,0.40792,-0.26504
,0.221,-0.42543
,0.34459,-0.23174
,0.15037,-0.38613
,0.30639,-0.21926
,0.15594,-0.35582
,0.27191,-0.17285
,0.10756,-0.35361
,0.23943,-0.12092
,0.08771,-0.28762
,0.1982,-0.13512
,0.04032,-0.27467
,0.15692,-0.09755
,0.01897,-0.27562
,0.12745,-0.09739
,-0.0191,-0.23016
,0.10819,-0.08603
,-0.04866,-0.22984
,0.07583,-0.08319
,-0.12702,-0.20143
,0.02221,-0.07403
,-0.37305,-0.19101
,-0.05276,0.03537
,-0.55724,0.03095
,-0.31086,0.41645
,-0.61556,0.2387
,-0.46171,0.68372
,-0.72435,0.58395
,-0.55736,0.76091
,-0.80149,0.64946
,-0.64614,0.76865
,-0.83941,0.70597
,-0.73966,0.86889
,-0.84632,0.78633
,-0.73654,0.92888
,-0.8247,0.78712
,-0.68979,0.93519
,-0.73974,0.64188
,-0.64046,0.87442
,-0.76949,0.57668
,-0.5733,0.87299
,-0.74751,0.60305
,-0.61493,0.86258
,-0.77225,0.6493
,-0.67302,0.8389
,-0.82107,0.7085
,-0.68327,0.89494
,-0.83436,0.79027
,-0.72534,0.96061
,-0.82797,0.84663
,-0.74424,0.95461
,-0.82718,0.72887
