Date,U1,U3,Torq1
,0.90504,-1.88992,-0.0025
,0.99051,-1.73632,0.0013
,0.89045,-1.77011,-0.0015
,0.98542,-1.63103,0.0023
,0.86365,-1.65565,-0.0006
,0.95764,-1.45627,0.0023
,0.76414,-1.47679,-0.0015
,0.92335,-1.25421,0.0013
,0.7592,-1.64239,-0.0006
,0.93709,-1.21648,0.0042
,0.76556,-1.60624,-0.0015
,0.95926,-1.20053,0.0023
,0.69516,-1.39265,-0.0006
,0.87794,-0.88828,0.0032
,0.64162,-1.26163,-0.0015
,0.76733,-0.96074,0.0023
,0.61198,-1.15112,-0.0015
,0.72488,-0.92601,0.0023
,0.60157,-1.10139,-0.0015
,0.69287,-0.94274,0.0023
,0.59442,-1.17417,-0.0025
,0.75546,-0.87881,0.0023
,0.61344,-1.45375,-0.0015
,0.84081,-0.86286,0.0013
,0.63396,-1.54341,-0.0015
,0.82877,-0.99941,0.0032
,0.63886,-1.53536,-0.0015
,0.88208,-0.9279,0.0023
,0.61151,-1.46227,-0.0015
,0.8895,-0.85134,0.0032
,0.56657,-1.44175,-0.0015
,0.83481,-0.87439,0.0023
,0.58736,-1.41475,-0.0015
,0.82853,-0.87833,0.0023
,0.5481,-1.37939,-0.0006
,0.76512,-0.8657,0.0023
,0.48816,-1.21948,-0.0006
,0.69729,-0.83397,0.0023
,0.45707,-1.12997,-0.0015
,0.61368,-0.80098,0.0013
,0.41335,-1.01173,-0.0006
,0.51057,-0.76499,0.0023
,0.33605,-0.88149,-0.0025
,0.47191,-0.71842,0.0023
,0.3132,-0.87549,-0.0015
,0.42369,-0.6548,0.0023
,0.27931,-0.82371,-0.0015
,0.37069,-0.65306,0.0023
,0.23353,-0.81077,-0.0015
,0.33999,-0.59939,0.0023
,0.21901,-0.79309,-0.0006
,0.3072,-0.64327,0.0023
,0.20911,-0.81692,-0.0006
,0.29651,-0.65559,0.0023
,0.21349,-0.81298,-0.0015
,0.2842,-0.63238,0.0023
,0.21964,-0.68779,-0.0015
,0.31995,-0.47894,0.0023
,0.22947,-0.66206,-0.0015
,0.3136,-0.46536,0.0032
,0.22288,-0.62575,-0.0006
,0.34623,-0.38438,0.0013
,0.21842,-0.58297,-0.0006
,0.3353,-0.41342,0.0023
,0.22292,-0.59465,-0.0006
,0.31391,-0.40064,0.0032
,0.19557,-0.52977,-0.0015
,0.31537,-0.38059,0.0013
,0.19814,-0.51146,-0.0025
,0.32843,-0.33165,0.0023
,0.1558,-0.51083,-0.0015
,0.30361,-0.24798,0.0023
,0.16314,-0.43616,-0.0015
,0.2436,-0.21736,0.0023
,0.10924,-0.42637,0.0004
,0.2299,-0.23425,0.0023
,0.0744,-0.37775,-0.0015
,0.18843,-0.16605,0.0032
,0.03948,-0.34318,-0.0006
,0.1571,-0.12659,0.0013
,0.01986,-0.3757,-0.0006
,0.12577,-0.10654,0.0032
,-0.01888,-0.3026,-0.0006
,0.09543,-0.11001,0.0032
,-0.03214,-0.2914,-0.0015
,0.04934,-0.12059,0.0023
,-0.06805,-0.27687,-0.0015
,0.02843,-0.10843,0.0013
,-0.10806,-0.24719,-0.0015
,-0.0057,-0.04529,0.0023
,-0.18674,-0.20946,-0.0015
,-0.05637,-0.08002,0.0032
,-0.43269,-0.19368,-0.0015
,-0.15663,0.22545,0.0042
,-0.64403,0.10184,-0.0015
,-0.39587,0.48687,0.0023
,-0.70748,0.43983,-0.0015
,-0.49574,0.82817,0.0042
,-0.72054,0.53455,-0.0025
,-0.56985,0.88185,0.0023
,-0.77748,0.63305,-0.0015
,-0.6524,0.86922,0.0023
,-0.80479,0.69746,-0.0015
,-0.6767,0.87048,0.0032
,-0.80498,0.73361,-0.0025
,-0.68049,0.903,0.0042
,-0.74887,0.73424,-0.0015
,-0.63748,0.86748,0.0023
,-0.69837,0.70772,-0.0015
,-0.60568,0.82659,0.0032
,-0.70377,0.71309,-0.0015
,-0.60209,0.83686,0.0013
,-0.73033,0.72888,-0.0006
,-0.62028,0.84333,0.0023
,-0.76312,0.75256,-0.0006
,-0.66198,0.87269,0.0023
,-0.81954,0.84159,-0.0025
,-0.72023,0.97925,0.0023
,-0.84803,0.95083,-0.0006
,-0.76643,1.04571,0.0032
,-0.82917,0.93252,-0.0015
,-0.7308,1.04224,0.0023
,-0.79539,0.84949,-0.0015
,-0.67824,0.97262,0.0023
,-0.74047,0.80228,-0.0015
,-0.64995,0.90568,0.0023
,-0.74043,0.80465,-0.0025
,-0.64478,0.90821,0.0032
,-0.74134,0.82944,-0.0015
,-0.65626,0.94452,0.0032
,-0.78222,0.8869,-0.0015
,-0.69856,0.98114,0.0023
,-0.77815,0.91516,-0.0015
,-0.70499,1.00672,0.0032
,-0.76694,0.92021,-0.0015
,-0.69016,1.00056,0.0032
,-0.76584,0.90426,-0.0015
,-0.66917,0.97767,0.0032
,-0.73881,0.80418,-0.0025
,-0.60441,0.98351,0.0023
,-0.67536,0.70599,-0.0025
,-0.48963,0.89353,0.0023
,-0.55694,0.50771,-0.0006
,-0.3825,0.83512,0.0032
,-0.78214,0.57764,-0.0015
,-0.52068,1.19489,0.0023
,-0.98495,1.09307,-0.0015
,-0.72634,1.87023,0.0023
,-1.04631,1.84576,-0.0015
,-0.92482,2.17396,0.0023
,-1.04836,2.01831,-0.0015
,-0.91196,2.1517,0.0013
,-0.95907,1.89281,-0.0015
,-0.85687,2.09156,0.0032
,-0.97911,1.89012,-0.0025
,-0.85158,2.05998,0.0023
,-1.10815,2.0221,-0.0015
,-0.92955,2.36434,0.0032
,-1.21958,2.33767,-0.0006
,-1.07642,2.51826,0.0023
,-1.23812,2.36877,-0.0015
,-1.15593,2.514,0.0032
,-1.20273,2.25873,-0.0006
,-1.08167,2.40413,0.0032
,-1.13821,2.0865,-0.0015
,-0.96337,2.29741,0.0032
,-1.02019,1.94995,-0.0015
,-0.91314,2.14933,0.0023
,-0.98018,1.89107,-0.0015
,-0.90327,1.99668,0.0023
,-0.97012,1.8737,-0.0015
,-0.89503,1.95816,0.0023
,-0.96341,1.8355,-0.0015
,-0.88268,1.94411,0.0023
,-0.94336,1.83755,-0.0006
,-0.87194,1.94901,0.0032
,-0.94052,1.81245,-0.0015
,-0.86046,1.9217,0.0023
,-0.93026,1.86186,-0.0015
,-0.8603,1.96053,0.0032
,-0.92253,1.82792,-0.0006
,-0.84267,1.93859,0.0032
,-0.9045,1.78499,-0.0025
,-0.83395,1.87355,0.0032
,-0.93046,1.78278,-0.0015
,-0.824,1.98184,0.0023
,-1.0097,1.9659,-0.0015
,-0.86934,2.15139,0.0023
,-1.06529,2.02225,-0.0015
,-0.96254,2.16338,0.0023
,-1.069,1.7984,-0.0015
,-0.99435,2.03457,0.0032
,-1.06052,1.6969,-0.0015
,-0.95966,1.83455,0.0023
,-1.03846,1.58592,-0.0015
,-0.95023,1.7763,0.0013
,-0.99533,1.59113,-0.0006
,-0.86007,1.78309,0.0032
,-0.93547,1.73494,-0.0015
,-0.84578,1.9378,0.0023
,-0.91851,1.87765,-0.0015
,-0.79267,2.08619,0.0023
,-0.85431,1.94806,-0.0015
,-0.72725,2.1345,0.0023
,-0.81347,1.88807,-0.0015
,-0.71024,2.06646,0.0013
,-0.72831,1.60218,-0.0015
,-0.60418,1.985,0.0023
,-0.72784,1.64022,-0.0015
,-0.57415,1.91049,0.0023
,-0.70969,1.81672,-0.0015
