Date,U1,U3,Speed1
,-0.1298,0.82249,0
,-0.04343,0.98856,0
,-0.11722,0.7243,0
,-0.02835,0.94499,0
,-0.09756,0.63242,0
,-0.03096,0.89163,0
,-0.09685,0.54749,0
,-0.00993,0.73993,0
,-0.07235,0.49666,0
,0.00815,0.6692,0
,-0.04599,0.42404,0
,0.01217,0.61679,0
,-0.04895,0.37053,0
,0.03959,0.53423,0
,-0.03313,0.31591,0
,0.05333,0.51497,0
,-0.02054,0.30912,0
,0.06639,0.48561,0
,0.00357,0.25876,0
,0.08489,0.42404,0
,0.01245,0.21124,0
,0.10778,0.395,0
,0.01864,0.11289,0
,0.10158,0.32885,0
,0.05238,0.02812,0
,0.25654,0.23982,0
,0.24482,-0.39211,0
,0.42519,0.21045,0
,0.34714,-0.85718,0
,0.5047,-0.37948,0
,0.30464,-1.2299,0
,0.53875,-0.85292,0
,0.30077,-1.42928,0
,0.56463,-1.03304,0
,0.39646,-1.59535,0
,0.66348,-1.10013,0
,0.41082,-1.70159,0
,0.69047,-1.19532,0
,0.38667,-1.74153,0
,0.66344,-1.24631,0
,0.36,-1.65692,0
,0.57769,-1.17038,0
,0.34694,-1.37371,0
,0.54759,-1.11387,0
,0.36359,-1.31435,0
,0.55512,-1.00462,0
,0.35779,-1.41823,0
,0.60019,-1.00778,0
,0.36919,-1.57798,0
,0.64943,-1.11466,0
,0.38186,-1.61682,0
,0.65101,-1.2501,0
,0.42795,-1.5742,0
,0.62295,-1.31135,0
,0.42491,-1.54736,0
,0.58795,-1.24679,0
,0.39094,-1.49448,0
,0.5962,-1.17954,0
,0.38237,-1.49605,0
,0.57687,-1.16312,0
,0.40751,-1.52257,0
,0.56605,-1.23495,0
,0.40147,-1.58256,0
,0.60303,-1.30093,0
,0.40696,-1.6506,0
,0.58503,-1.29857,0
,0.38845,-1.65044,0
,0.55457,-1.35792,0
,0.42605,-1.52857,0
,0.56444,-1.34214,0
,0.39638,-1.54041,0
,0.54479,-1.3865,0
,0.35124,-1.54846,0
,0.53804,-1.30472,0
