Date,U1
"24/06/20" "14:04:48",-1.03643
,-0.91308
,-0.98004
,-0.85902
,-0.9295
,-0.83282
,-0.89817
,-0.76997
,-0.84064
,-0.7133
,-0.81941
,-0.69511
,-0.76057
,-0.60183
,-0.73449
,-0.55172
,-0.674
,-0.55263
,-0.62464
,-0.55665
,-0.67968
,-0.55326
,-0.67006
,-0.56352
,-0.67203
,-0.54316
,-0.66698
,-0.55436
,-0.65313
,-0.54209
,-0.6085
,-0.50756
,-0.59729
,-0.50409
,-0.60692
,-0.50216
,-0.56419
,-0.45504
,-0.49427
,-0.41168
,-0.46025
,-0.37605
,-0.44404
,-0.34768
,-0.41484
,-0.34148
,-0.40414
,-0.3274
,-0.40024
,-0.30238
,-0.40395
,-0.31422
,-0.39724
,-0.29397
,-0.38572
,-0.2864
,-0.36283
,-0.22808
,-0.3287
,-0.21415
,-0.30818
,-0.18479
,-0.25195
,-0.16131
,-0.25002
,-0.13791
,-0.22879
,-0.12537
,-0.22188
,-0.11377
,-0.19359
,-0.11937
,-0.18203
,-0.08169
,-0.16451
,-0.05316
,-0.13018
,-0.02739
,-0.11349
,-0.0251
,-0.09818
,-0.00581
,-0.0835
,0.00493
,-0.05209
,0.02438
,-0.0427
,0.0535
,-0.01468
,0.07611
,0.02142
,0.13558
,0.0887
,0.33966
,0.25478
,0.43329
,0.31421
,0.45859
,0.36937
,0.50021
,0.43976
,0.60553
,0.51726
,0.62921
,0.45665
,0.59113
,0.44781
,0.58513
,0.42856
,0.52594
,0.43037
,0.49662
,0.4411
,0.54484
,0.48455
,0.6176
,0.52531
,0.65395
,0.54796
,0.67738
,0.54121
,0.68666
,0.50846
,0.64696
,0.4879
,0.61705
,0.50696
,0.59492
,0.4928
,0.62001
,0.50223
,0.64523
,0.51746
,0.65647
,0.52401
,0.61599
,0.516
,0.61666
,0.50246
,0.60387
,0.41001
,0.60533
,0.37237
,0.48818
,0.393
,0.65892
,0.6103
,0.94081
,0.89259
,1.08223
,1.00998
,1.09079
,0.97557
,1.09174
,0.9813
,1.09569
,1.03488
,1.18423
,1.15342
,1.28395
,1.20953
,1.3165
,1.14698
,1.26094
,1.05706
,1.20081
,1.01385
,1.0992
,0.9839
,1.06633
,0.96109
,1.04968
,0.95498
,1.02731
,0.94393
,1.01598
,0.94018
,1.00671
,0.95143
,1.0118
,0.93395
,1.03338
,0.96082
,1.04921
,0.95734
,1.03906
,0.97289
,1.06353
,0.99404
,1.07943
,0.9493
,1.07915
,0.94046
,1.03516
,0.87503
,0.97301
,0.83652
,0.94294
,0.88734
,1.00324
,0.92219
,1.05875
,0.98067
,1.07107
,0.9695
,1.05958
,0.95371
,1.09971
,0.85384
,1.06345
,0.84639
,1.07805
,0.82417
,0.9987
,0.75109
,0.95289
,0.72
,0.85511
,0.69849
,0.86513
,0.69636
,0.89551
,0.75942
,0.89058
,0.79367
,0.89749
,0.78231
,0.93955
,0.74111
,0.91982
,0.66353
,0.89689
,0.67198
,0.87255
,0.6792
,0.87129
,0.60912
,0.81525
,0.53269
,0.75634
,0.51971
,0.68374
,0.46841
,0.57215
,0.38006
,0.54539
,0.3685
,0.49149
,0.34238
,0.42982
,0.28181
,0.45413
,0.28595
,0.40046
,0.26749
,0.36917
,0.26883
,0.36897
,0.29905
,0.39955
,0.30201
,0.38756
,0.30627
,0.40425
,0.30414
,0.40993
,0.29231
,0.39245
,0.28891
,0.39963
,0.28753
,0.37114
,0.25265
,0.36732
,0.21497
,0.32612
,0.14895
,0.27802
,0.12583
,0.23809
,0.10417
,0.21631
,0.07678
,0.15637
,0.0185
,0.14291
,0.00579
,0.15278
,-0.03639
,0.06112
,-0.10623
,0.01732
,-0.31793
,-0.07277
,-0.5067
,-0.29176
,-0.59647
,-0.36891
,-0.65301
,-0.50942
,-0.73327
,-0.59931
,-0.79254
,-0.68809
,-0.77466
,-0.69207
,-0.75639
,-0.6317
,-0.70072
,-0.60104
,-0.67448
,-0.5892
,-0.69681
,-0.59102
,-0.75821
,-0.63948
,-0.84206
,-0.73094
,-0.88617
,-0.779
,-0.86194
,-0.76799
,-0.82955
,-0.72033
,-0.77967
,-0.68343
,-0.76894
,-0.68904
,-0.79747
,-0.71461
,-0.83665
,-0.73796
,-0.84115
,-0.7429
,-0.83653
,-0.74475
,-0.83401
,-0.73737
,-0.8067
,-0.71614
,-0.79273
,-0.63592
,-0.70371
,-0.52702
,-0.74515
,-0.53834
,-0.92528
,-0.6933
,-1.08497
,-0.86041
,-1.1307
,-1.03398
,-1.11109
,-0.99938
,-1.0794
,-0.99105
,-1.16897
,-1.02258
,-1.27259
,-1.12115
,-1.28826
,-1.19857
,-1.26095
,-1.15694
,-1.17979
,-1.06145
,-1.109
,-1.0083
,-1.05703
,-0.97468
,-1.04803
,-0.96039
,-1.01927
,-0.95672
,-1.0152
,-0.94122
,-1.01469
,-0.92401
,-1.0053
,-0.93064
,-1.00944
,-0.95025
,-1.01524
,-0.95313
,-1.00526
,-0.92788
,-1.01658
,-0.94749
,-1.07333
,-0.98269
,-1.13386
,-1.05644
,-1.12679
,-1.04929
,-1.13709
,-1.07044
,-1.14771
,-1.04945
,-1.13445
,-1.00155
,-1.05644
,-0.94165
,-1.01216
,-0.87765
,-0.95286
,-0.83488
,-0.90286
,-0.79443
,-0.83227
,-0.73351
,-0.82398
,-0.70364
,-0.75067
,-0.67112
,-0.7309
,-0.60136
,-0.68162
,-0.55894
,-0.66027
,-0.48401
,-0.68568
,-0.54245
,-0.68055
,-0.57082
,-0.6665
,-0.54256
,-0.65743
,-0.54399
,-0.65739
,-0.56719
,-0.61556
,-0.51905
,-0.5851
,-0.50508
,-0.59157
,-0.51928
,-0.56162
,-0.47892
,-0.52765
,-0.41168
,-0.48038
,-0.37486
,-0.44999
,-0.35758
,-0.42087
,-0.32455
,-0.40986
,-0.29717
,-0.4114
,-0.31422
,-0.394
,-0.3068
,-0.39377
,-0.29626
,-0.37818
,-0.29567
,-0.38374
,-0.26927
,-0.33237
,-0.23802
,-0.31619
,-0.21127
,-0.2847
,-0.19556
,-0.26055
,-0.17173
,-0.23518
,-0.15895
,-0.21624
,-0.13034
,-0.19142
,-0.13097
,-0.1902
,-0.09842
,-0.16652
,-0.08413
,-0.15042
,-0.06113
,-0.11495
,-0.03003
,-0.10205
,-0.00529
,-0.08322
,0.00114
,-0.06535
,0.01925
,-0.05047
,0.04407
,-0.02234
,0.07209
,0.01416
,0.11415
,0.0591
,0.28181
,0.22475
,0.35907
,0.33062
,0.42197
,0.35868
,0.4692
,0.40417
,0.54717
,0.48865
,0.59705
,0.47141
,0.61058
,0.45342
,0.58892
,0.43751
,0.55715
,0.43045
,0.50799
,0.42868
,0.54725
,0.45705
,0.62534
,0.49489
,0.65915
,0.55554
,0.67802
,0.56812
,0.64858
