Date,U1,U2
"24/06/20" "14:04:56",-0.82971,-0.91
,-0.70545,1.17
,-0.84107,-1.01
,-0.73568,0.8
,-0.79889,-0.83
,-0.66777,0.88
,-0.73011,-0.91
,-0.63383,0.83
,-0.68505,-1.04
,-0.58806,0.88
,-0.72897,-0.91
,-0.63277,1.09
,-0.79262,-0.96
,-0.67574,0.93
,-0.82884,-0.99
,-0.73181,0.91
,-0.84312,-0.96
,-0.75544,0.93
,-0.83468,-0.96
,-0.74424,0.96
,-0.79222,-0.96
,-0.70541,0.99
,-0.77411,-0.88
,-0.68422,0.99
,-0.76638,-0.91
,-0.68501,0.91
,-0.81104,-0.93
,-0.68675,0.99
,-0.81515,-1.07
,-0.73256,1.04
,-0.82355,-0.8
,-0.72467,0.88
,-0.79668,-0.88
,-0.71626,0.93
,-0.80473,-0.85
,-0.70328,0.85
,-0.79392,-0.96
,-0.71086,0.96
,-0.7897,-1.17
,-0.61592,0.99
,-0.64879,-0.91
,-0.53341,0.83
,-0.79743,-0.93
,-0.57074,0.93
,-0.95621,-0.99
,-0.74491,0.93
,-1.0912,-0.96
,-0.93179,0.8
,-1.1118,-0.99
,-1.03466,0.93
,-1.10028,-1.07
,-0.99559,1.07
,-1.09984,-0.78
,-1.00404,1.04
,-1.20926,-1.09
,-1.05955,0.88
,-1.24276,-1.09
,-1.14928,0.72
,-1.26435,-0.83
,-1.1878,0.91
,-1.22331,-1.07
,-1.14873,0.96
,-1.18697,-0.96
,-1.06827,0.88
,-1.12024,-1.04
,-1.01339,0.88
,-1.06764,-1.09
,-0.99133,0.85
,-1.03967,-0.93
,-0.95771,0.88
,-1.01524,-1.01
,-0.94126,0.72
,-1.02712,-0.88
,-0.93865,0.93
,-1.02369,-0.93
,-0.94473,0.96
,-1.03028,-0.99
,-0.94808,0.8
,-1.03359,-1.01
,-0.94998,0.96
,-1.02207,-0.93
,-0.93577,1.01
,-1.00917,-1.07
,-0.90862,0.96
,-1.02822,-0.96
,-0.94603,0.88
,-1.11705,-0.93
,-0.99851,1.04
,-1.1382,-1.01
,-1.05498,0.91
,-1.14502,-0.93
,-1.02507,0.96
,-1.1367,-0.99
,-1.01351,1.04
,-1.10904,-0.88
,-1.01635,1.25
,-1.07861,-0.93
,-0.94252,0.85
,-1.05809,-1.01
,-0.91091,0.96
,-0.98675,-1.04
,-0.85457,0.99
,-0.94583,-0.88
,-0.80015,0.96
,-0.8855,-0.93
,-0.74377,1.12
,-0.82868,-1.2
,-0.72853,1.07
,-0.81365,-0.91
,-0.69054,0.93
,-0.78417,-1.01
,-0.63482,0.88
,-0.71989,-1.04
,-0.56908,0.85
,-0.68114,-0.85
,-0.55077,0.91
,-0.67822,-1.01
,-0.55835,0.78
,-0.67846,-0.88
,-0.59185,0.91
,-0.72865,-0.99
,-0.61592,1.01
,-0.69626,-0.88
,-0.59011,0.88
,-0.62574,-0.99
,-0.53495,0.75
,-0.61793,-1.07
,-0.52201,0.96
,-0.57985,-0.85
,-0.47868,0.88
,-0.57007,-0.8
,-0.47517,1.25
,-0.56675,-0.96
,-0.49399,0.88
,-0.53475,-0.88
,-0.45382,0.93
,-0.50457,-1.04
,-0.40347,0.99
,-0.45323,-0.93
,-0.35533,0.91
,-0.43831,-0.93
,-0.33904,0.88
,-0.41101,-1.09
,-0.32763,0.83
,-0.40691,-0.91
,-0.31816,0.93
,-0.41144,-0.99
,-0.31765,0.83
,-0.39692,-0.91
,-0.30337,0.93
,-0.39412,-0.96
,-0.31209,0.83
,-0.38051,-0.91
,-0.29985,1.01
,-0.36816,-0.91
,-0.26884,1.07
,-0.32917,-1.07
,-0.22859,0.93
,-0.29007,-0.85
,-0.20002,0.91
,-0.25329,-0.93
,-0.17875,0.85
,-0.24982,-0.99
,-0.14798,0.83
,-0.23794,-1.04
,-0.1582,1.04
,-0.21194,-0.93
