Date,U1
"24/06/20" "13:04:31",2.31636
,2.36213
,2.28321
,2.34809
,2.25701
,2.32836
,2.2166
,2.29805
,2.21533
,2.28463
,2.17556
,2.24485
,2.1563
,2.22765
,2.11857
,2.19592
,2.10847
,2.16656
,2.08511
,3.89122
,3.76873
,3.84908
,3.69186
,3.81261
,3.67734
,3.73385
,3.59178
,3.68223
,3.55342
,3.62604
,3.47118
,3.55784
,3.43504
,3.50512
,3.36732
,3.45603
,3.31902
,3.39589
,1.52096
,3.35154
,1.50627
,1.55884
,1.46318
,1.53406
,1.46239
,1.51701
,1.44014
,1.5017
,1.42861
,1.48844
,1.40178
,1.46981
,1.39436
,1.45087
,1.38094
,1.42814
,1.35679
,1.42735
,1.34495
,3.1397
,3.02116
,3.11208
,2.97096
,3.07767
,2.95076
,3.012
,2.87467
,2.97191
,2.82968
,2.91461
,2.72172
,2.84247
,2.5203
,2.72156
,2.40507
,2.53608
,2.27721
,2.48021
,0.458
,2.35093
,0.44442
,0.56581
,0.37181
,0.50677
,0.35792
,0.43211
,0.26416
,0.37276
,0.21254
,0.29399
,0.12572
,0.25406
,0.07711
,0.19439
,0.07616
,0.1917
,0.06937
,0.15761
,0.05106
,1.8848
,1.76846
,1.8346
,1.67612
,1.82655
,1.65339
,1.74258
,1.59293
,1.68528
,1.53311
,1.63003
,1.46097
,1.60414
,1.37636
,1.53563
,1.29097
,1.45561
,1.21299
,1.37905
,-0.58902
,1.29981
,-0.60843
,-0.48989
,-0.62406
,-0.51499
,-0.65232
,-0.53235
,-0.66779
,-0.55208
,-0.67726
,-0.55208
,-0.69304
,-0.57971
,-0.74529
,-0.59549
,-0.72935
,-0.59881
,-0.74292
,-0.63337
,-0.73235
,1.04899
,0.91892
,1.05593
,0.87693
,1.01584
,0.8059
,0.9598
,0.7396
,0.89271
,0.72271
,0.84331
,0.70235
,0.76991
,0.65042
,0.71813
,0.56644
,0.69225
,0.51261
,0.64015
,-1.28293
,0.59012
,-1.28498
,-1.19627
,-1.28908
,-1.189
,-1.32381
,-1.19879
,-1.30234
,-1.18095
,-1.30913
,-1.16533
,-1.25562
,-1.12839
,-1.21994
,-1.16012
,-1.28798
,-1.1658
,-1.36832
,-1.18664
,-1.41836
,0.33614
,0.07411
,0.26858
,-0.08437
,0.10931
,-0.20481
,-0.06843
,-0.30836
,-0.14388
,-0.39976
,-0.28547
,-0.49573
,-0.35951
,-0.58002
,-0.47347
,-0.68673
,-0.54182
,-0.78807
,-0.67015
,-2.66505
,-0.76944
,-2.75945
,-2.64122
,-2.86
,-2.7113
,-2.94445
,-2.84658
,-3.04847
,-2.9233
,-3.09788
,-3.01169
,-3.14208
,-3.0431
,-3.17159
,-3.11414
,-3.23158
,-3.14728
,-3.24768
,-3.19369
,-3.26772
,-1.48292
,-1.59373
,-1.51623
,-1.66445
,-1.55237
,-1.72317
,-1.63682
,-1.78599
,-1.67597
,-1.85655
,-1.75805
,-1.91022
,-1.81456
,-1.98693
,-1.8897
,-2.04976
,-1.93532
,-2.11605
,-2.0114
,-3.90986
,-2.06681
,-3.9449
,-3.87529
,-3.97047
,-3.90117
,-4.00977
,-3.93353
,-4.01877
,-3.93369
,-4.0374
,-3.96731
,-4.06486
,-3.97268
,-4.08239
,-4.01088
,-4.10543
,-4.02745
,-4.12895
,-4.06518
,-4.14174
,-2.3713
,-2.49505
,-2.37366
,-2.55788
,-2.43491
,-2.62133
,-2.53025
,-2.63285
,-2.56435
,-2.72535
,-2.61407
,-2.70957
,-2.60286
,-2.70168
,-2.63554
,-2.71509
,-2.65069
,-2.7353
,-2.65558
,-4.48143
,-2.66048
,-4.52152
,-4.43723
,-4.57519
,-4.48048
,-4.6287
,-4.53494
,-4.72988
,-4.58908
,-4.75609
,-4.66832
,-4.80549
,-4.70984
,-4.84211
,-4.76082
,-4.874
,-4.76303
,-4.89642
,-4.81575
,-4.93019
,-3.14255
,-3.2581
,-3.1416
,-3.33812
,-3.18249
,-3.36875
,-3.22258
,-3.44878
,-3.20474
,-3.47167
,-3.34586
,-3.54491
,-3.31539
,-3.48603
,-3.35375
,-3.57143
,-3.3517
,-3.63346
,-3.41184
,-5.33287
,-3.41673
