Date,U1
"24/06/20" "16:19:09",0.41903
,0.53847
,0.41777
,0.55599
,0.42006
,0.53247
,0.41347
,0.52506
,0.40715
,0.54676
,0.38711
,0.53417
,0.2986
,0.52762
,0.22335
,0.36339
,0.36533
,0.68617
,0.6078
,0.90718
,0.88003
,1.10041
,0.91684
,1.09243
,0.88595
,1.05211
,0.87336
,1.03419
,0.95425
,1.1901
,1.14638
,1.31285
,1.26294
,1.36439
,1.20647
,1.32315
,1.12913
,1.24759
,1.0527
,1.15391
,1.01936
,1.09101
,0.99781
,1.09464
,1.00657
,1.07361
,0.99032
,1.06304
,0.97919
,1.04386
,0.95725
,1.02247
,0.95851
,1.02674
,0.96009
,1.02386
,0.96183
,1.03009
,0.98148
,1.08608
,1.00874
,1.09591
,0.89672
,1.06908
,0.85927
,1.02847
,0.79977
,0.89171
,0.75423
,0.92154
,0.84526
,0.98069
,0.95784
,1.0933
,1.01825
,1.13466
,1.02851
,1.13288
,1.0104
,1.09796
,0.93626
,1.17423
,0.90722
,1.29853
,0.76927
,1.14247
,0.69773
,1.11082
,0.68013
,0.93231
,0.71742
,0.92233
,0.6752
,0.99075
,0.7072
,1.06765
,0.82873
,1.05921
,0.86034
,1.11378
,0.82009
,1.15048
,0.75167
,1.15419
,0.75096
,1.15474
,0.71458
,1.11063
,0.61917
,1.02401
,0.57462
,0.86326
,0.52573
,0.81113
,0.45663
,0.70238
,0.43067
,0.59782
,0.38817
,0.53559
,0.31663
,0.49609
,0.30906
,0.45991
,0.27528
,0.38845
,0.24573
,0.38245
,0.24849
,0.39421
,0.31107
,0.48516
,0.29967
,0.45924
,0.34556
,0.50146
,0.37787
,0.46835
,0.38648
,0.46954
,0.34493
,0.44251
,0.29402
,0.46831
,0.27548
,0.41737
,0.2634
,0.35598
,0.18192
,0.32019
,0.14278
,0.28842
,0.09559
,0.23713
,0.09227
,0.208
,0.03778
,0.18547
,-0.04532
,0.15612
,-0.05215
,0.09121
,-0.11647
,0.04326
,-0.445
,-0.02307
,-0.69864
,-0.42172
,-0.83355
,-0.49346
,-0.9144
,-0.69616
,-0.96424
,-0.82613
,-1.0241
,-0.82751
,-0.91787
,-0.71809
,-0.82562
,-0.66076
,-0.76892
,-0.5968
,-0.76829
,-0.65721
,-0.81019
,-0.70752
,-0.84815
,-0.74205
,-0.94557
,-0.79895
,-0.99884
,-0.87542
,-0.97856
,-0.85308
,-0.9455
,-0.82455
,-0.89708
,-0.7905
,-0.88548
,-0.76758
,-0.9
,-0.80431
,-0.94045
,-0.82033
,-0.93563
,-0.82909
,-0.93563
,-0.81848
,-0.90983
,-0.81666
,-0.90162
,-0.81138
,-0.87692
,-0.6971
,-0.73096
,-0.51244
,-0.80297
,-0.65098
,-0.95939
,-0.75988
,-1.07034
,-0.90872
,-1.08897
,-0.97529
,-1.04268
,-0.92959
