Date,U1
"24/06/20" "13:05:37",-1.60052
,-1.53659
,-1.59879
,-1.5388
,-1.62909
,-1.5186
,-1.6362
,-1.53391
,-1.60084
,-1.51039
,-1.56801
,-1.47488
,-1.52191
,0.11704
,-0.05439
,0.07489
,-0.19156
,-0.02629
,-0.3101
,-0.13316
,-0.49179
,-0.3019
,-0.64096
,-0.47506
,-0.74861
,-0.61728
,-0.82611
,-0.72083
,-0.91814
,-0.80859
,-0.98901
,-0.89667
,-2.65433
,-0.96439
,-2.70642
,-2.62891
,-2.77761
,-2.68353
,-2.85259
,-2.73846
,-2.95203
,-2.82828
,-3.03727
,-2.91494
,-3.09946
,-2.98692
,-3.16244
,-3.05716
,-3.19417
,-3.11398
,-3.21785
,-3.15424
,-3.21185
,-1.58553
,-1.71702
,-1.63067
,-1.77842
,-1.68387
,-1.82135
,-1.7549
,-1.86476
,-1.80036
,-1.92601
,-1.83209
,-1.98236
,-1.89697
,-2.01867
,-1.93595
,-2.07407
,-1.99704
,-2.135
,-2.05118
,-3.75754
,-2.0938
,-3.77348
,-3.73007
,-3.78658
,-3.73528
,-3.79779
,-3.73481
,-3.81768
,-3.74901
,-3.82573
,-3.76717
,-3.84341
,-3.77821
,-3.85824
,-3.80442
,-3.86898
,-3.80489
,-3.86772
,-3.82478
,-3.8835
,-2.24392
,-2.34478
,-2.27675
,-2.41408
,-2.32363
,-2.45559
,-2.38598
,-2.53483
,-2.43571
,-2.57887
,-2.50105
,-2.63428
,-2.56451
,-2.65969
,-2.58408
,-2.67453
,-2.62702
,-2.68795
,-2.63823
,-4.29138
,-2.64801
,-4.27797
,-4.20346
,-4.25445
,-4.16384
,-4.21593
,-4.15121
,-4.2314
,-4.15469
,-4.26581
,-4.18799
,-4.3198
,-4.2123
,-4.37062
,-4.26597
,-4.39872
,-4.31111
,-4.41498
,-4.34221
,-4.42129
,-2.78029
,-2.88573
,-2.83222
,-2.94319
,-2.85622
,-2.99623
,-2.92283
,-3.02022
,-2.95535
,-3.04706
,-2.97397
,-3.08747
,-2.99733
,-3.13008
,-3.05084
,-3.18849
,-3.08178
,-3.20806
,-3.09441
,-4.79871
,-3.09709
,-4.79824
,-4.63329
,-4.76919
,-4.6044
,-4.73068
,-4.58782
,-4.76099
,-4.55057
,-4.75025
,-4.56509
,-4.82618
,-4.52169
,-4.80108
,-4.53274
,-4.80818
,-4.53416
,-4.88584
,-4.53384
,-4.82965
,-3.02953
,-3.31319
,-3.01375
,-3.35139
,-3.03395
,-3.36623
,-3.12787
,-3.35707
,-3.1727
,-3.36039
,-3.18328
,-3.35455
,-3.1787
,-3.33355
,-3.18881
,-3.36607
,-3.18533
,-3.39259
,-3.21911
,-5.0156
,-3.19496
,-5.0186
,-4.76635
,-4.96477
,-4.73273
,-4.95009
,-4.67054
,-4.87211
,-4.61608
,-4.80692
,-4.56636
,-4.72973
,-4.52121
,-4.65223
,-4.49943
,-4.57299
,-4.46928
,-4.5048
,-4.41356
,-4.45728
,-2.7402
,-2.84517
,-2.72236
,-2.81328
,-2.69852
,-2.81644
,-2.70326
,-2.77634
,-2.68574
,-2.75567
,-2.67595
,-2.74572
,-2.66901
,-2.70468
,-2.63617
,-2.70815
,-2.59924
,-2.69458
,-2.58724
,-4.23345
,-2.6155
,-4.23393
,-4.1157
,-4.16195
,-4.06329
,-4.08728
,-4.00789
,-4.03803
,-3.95785
,-4.00741
,-3.93401
,-3.97742
,-3.90607
,-3.9569
,-3.8685
,-3.9187
,-3.83109
,-3.88713
,-3.79668
,-3.83204
,-2.19688
,-2.25276
,-2.18551
,-2.26791
,-2.18741
,-2.28322
,-2.20382
,-2.26223
,-2.19846
,-2.2728
,-2.20035
,-2.26097
,-2.16957
,-2.24881
,-2.17352
,-2.27975
,-2.14589
,-2.24865
,-2.14652
,-3.81547
,-2.15363
,-3.82099
,-3.67609
,-3.70923
,-3.63836
,-3.64799
,-3.55896
,-3.62447
,-3.4914
,-3.54523
,-3.43095
,-3.45415
,-3.38959
,-3.42558
,-3.31003
,-3.34208
,-3.22921
,-3.28951
,-3.20017
,-3.20412
,-1.55759
,-1.61678
,-1.49808
,-1.60778
,-1.49903
,-1.55333
,-1.47519
,-1.55222
,-1.40921
,-1.51039
,-1.42405
,-1.48608
,-1.36817
,-1.44094
,-1.35191
,-1.3879
,-1.31008
,-1.3598
,-1.20653
,-2.76261
,-1.14955
,-2.64486
,-2.4698
,-2.50453
,-2.22292
,-2.30516
,-2.04455
,-2.15647
,-1.89807
,-1.96721
,-1.75095
,-1.77732
,-1.60952
,-1.61678
,-1.45562
,-1.47093
,-1.33092
,-1.33692
,-1.20069
,-1.22279
,0.50977
,0.47378
