Date,U1
"24/06/20" "13:00:44",3.13268
,3.19267
,3.15352
,3.21271
,3.16836
,3.22597
,3.17088
,3.23528
,3.19393
,3.25328
,3.21571
,3.27869
,3.23671
,3.31452
,3.27569
,3.35351
,3.3281
,3.41965
,3.40008
,3.49479
,3.47111
,3.55761
,3.51705
,3.57561
,3.54846
,3.60844
,3.58903
,3.67916
,3.63496
,3.71562
,3.67553
,3.73583
,3.70536
,3.76282
,3.69542
,3.77213
,3.68089
,3.74498
,3.65895
,3.72272
,3.64648
,3.71373
,3.62912
,3.7022
,3.59155
,3.68594
,3.56882
,3.65643
,3.55398
,3.64459
,3.54135
,3.61302
,3.51941
,3.5906
,3.48879
,3.56582
,3.47016
,3.53646
,3.44507
,3.52825
,3.41902
,3.50726
,3.37009
,3.50821
,3.35983
,3.45785
,3.27048
,3.44412
,3.2858
,3.38272
,3.24207
,3.37119
,3.18162
,3.31184
,3.14105
,3.33852
,3.12447
,3.27191
,3.16678
,3.2517
,3.11958
,3.20498
,3.15731
,3.2506
,3.11769
,3.25675
,3.07633
,3.20545
,3.0667
,3.18903
,3.01729
,3.14594
,3.02456
,3.13268
,3.02771
,3.11942
,3.01603
,3.10364
,2.98793
,3.08217
,2.97641
,3.03955
,2.95447
,3.02613
,2.94279
,3.02235
,2.94121
,3.01366
,2.90854
,2.99299
,2.8776
,2.95684
,2.83593
,2.93316
,2.80246
,2.90317
,2.76742
,2.82693
,2.74358
,2.80136
,2.74942
,2.95194
,2.83214
,2.89133
,2.80483
,2.8757
,2.77121
,2.85455
,2.73222
,2.81904
,2.73774
,2.8184
,2.71059
,2.76837
,2.70396
,2.78115
,2.6926
,2.77421
,2.66876
,2.73127
,2.64335
,2.71264
,2.62741
,2.72306
,2.61273
,2.6937
,2.60767
,2.68471
,2.56774
,2.66829
,2.5589
,2.63814
,2.51691
,2.59852
,2.46403
,2.55922
,2.42504
,2.50491
,2.38779
,2.47335
,2.35906
,2.43136
,2.31707
,2.38874
,2.25867
,2.35654
,2.22615
,2.31329
,2.1848
,2.26593
,2.14186
,2.24699
,2.11424
,2.19332
,2.06688
,2.16286
,2.04068
,2.11392
,2.00595
,2.08298
,1.96507
,2.04352
,1.93255
,2.0129
,1.88125
,1.98401
,1.85805
,1.95165
,1.82964
,1.93066
,1.79901
,1.88204
,1.76492
,1.83058
,1.72388
,1.80154
,1.67842
,1.76365
,1.6519
,1.72467
,1.6167
,1.69199
,1.57692
,1.65742
,1.54614
,1.63469
,1.5152
,1.59302
,1.48978
,1.55119
,1.44527
,1.51804
,1.41386
,1.47653
,1.38466
,1.45048
,1.36572
,1.41118
,1.32546
,1.40534
,1.27385
,1.36398
,1.22191
,1.33257
,1.09185
,1.25506
,1.00945
,1.10511
,0.91095
,1.01529
,0.83487
,0.94063
,0.76178
,0.90843
,0.69186
,0.89154
,0.6022
,0.84008
,0.52611
,0.75421
,0.44056
,0.68901
,0.35674
,0.60709
,0.34127
,0.56952
,0.32722
,0.52643
,0.3307
,0.50133
,0.33701
,0.43488
,0.31791
,0.41941
,0.28303
,0.376
,0.25461
,0.36558
,0.18784
,0.34569
,0.1438
,0.30118
,0.11018
,0.2715
,0.09676
,0.2161
,0.06756
,0.16874
,0.01295
,0.11776
,-0.02857
,0.08745
,-0.0704
,0.03915
,-0.12486
,-0.00126
,-0.14569
,-0.05114
,-0.17332
,-0.09629
,-0.23709
,-0.13117
,-0.28018
,-0.15406
,-0.28807
,-0.20205
,-0.31459
,-0.22083
,-0.36289
,-0.26582
,-0.37473
,-0.26708
,-0.39936
,-0.31696
,-0.42225
,-0.31917
,-0.4434
,-0.33495
,-0.48491
,-0.37094
,-0.51932
,-0.38263
,-0.54632
,-0.42509
,-0.56068
,-0.4565
,-0.58136
,-0.47655
,-0.60235
,-0.51269
,-0.61735
,-0.54158
,-0.6696
,-0.56699
,-0.66723
,-0.60898
,-0.68996
,-0.62666
,-0.73858
,-0.63329
,-0.93084
,-0.66912
,-0.88743
,-0.81371
,-0.87448
,-0.7943
,-0.8598
,-0.77646
,-0.92989
,-0.82697
,-1.02034
,-0.86328
,-1.16619
,-0.99271
,-1.31678
,-1.1182
,-1.41938
,-1.28284
,-1.51756
,-1.38339
,-1.57328
,-1.47258
,-1.63705
,-1.52072
,-1.69088
,-1.59365
,-1.74092
,-1.63248
,-1.81448
,-1.71014
,-1.87778
,-1.77281
,-1.97564
,-1.85599
,-2.06341
,-1.94581
,-2.14817
,-2.04289
,-2.23262
,-2.1267
,-2.30034
,-2.21178
,-2.35432
,-2.27035
,-2.37421
,-2.3087
,-2.41336
,-2.34154
,-2.44935
,-2.38526
,-2.47113
,-2.4012
,-2.4986
,-2.44161
,-2.52164
,-2.46387
,-2.557
,-2.49418
,-2.59189
,-2.52401
,-2.6233
,-2.55653
,-2.64082
,-2.58052
,-2.66702
,-2.6113
,-2.69622
,-2.62724
,-2.72874
,-2.66166
,-2.74326
,-2.68123
,-2.77799
,-2.71517
,-2.80293
,-2.7379
,-2.83592
,-2.75416
,-2.85407
,-2.80072
,-2.87728
,-2.8274
,-2.92084
,-2.83829
,-2.93773
,-2.88012
,-2.94721
,-2.89922
,-2.98146
,-2.92763
,-3.01792
,-2.95841
,-3.04949
,-2.97783
,-3.08659
,-3.01461
,-3.11674
,-3.0607
,-3.13378
,-3.08138
,-3.13252
,-3.08532
,-3.13978
,-3.09164
,-3.13584
,-3.08043
,-3.13094
,-3.07459
,-3.12037
,-3.04839
,-3.09037
,-3.04602
,-3.08548
,-3.0285
,-3.12447
,-3.03907
,-3.19314
,-3.08406
,-3.26117
,-3.1371
,-3.30789
,-3.20087
,-3.36598
,-3.26669
,-3.39155
,-3.31594
,-3.42581
,-3.33694
,-3.45674
,-3.37861
,-3.49179
,-3.40165
,-3.54309
,-3.42581
,-3.55019
,-3.45769
,-3.61522
,-3.4891
,-3.6629
,-3.48184
,-3.67521
,-3.4689
,-3.67221
,-3.47663
,-3.70993
,-3.50141
,-3.65011
,-3.50299
,-3.63448
,-3.47332
,-3.62754
,-3.4348
,-3.57213
,-3.39597
,-3.63653
,-3.44443
,-3.61617
,-3.47569
,-3.62864
,-3.4367
,-3.61333
,-3.50852
,-3.68184
,-3.55429
,-3.76676
,-3.55398
,-3.83132
,-3.53109
,-3.8258
,-3.56203
,-3.8591
,-3.58965
,-3.86747
,-3.64222
,-3.86068
,-3.67994
,-3.86952
,-3.6408
,-3.9093
,-3.5876
,-3.90267
,-3.61128
,-3.89146
,-3.59707
,-3.89399
,-3.61522
,-3.9153
,-3.65484
,-3.93329
,-3.66384
,-3.95444
,-3.62012
,-3.91593
,-3.62122
,-3.88104
,-3.59723
,-3.80764
,-3.57339
,-3.74908
,-3.55224
,-3.62864
,-3.38019
,-3.467
,-3.31342
,-3.46558
