Date,U1,U3,Aux1
"24/06/20" "16:17:44",0.18516,-0.43126,0
,0.32764,-0.20299,0
,0.1745,-0.36685,0
,0.32697,-0.15563,0
,0.0802,-0.40711,0
,0.299,-0.07844,0
,0.05794,-0.34349,0
,0.21818,-0.08712,0
,0.04492,-0.34175,0
,0.19743,-0.05523,0
,0.0038,-0.3296,0
,0.15848,-0.08507,0
,0.00688,-0.27624,0
,0.10861,-0.09343,0
,-0.07081,-0.27987,0
,0.07771,-0.06897,0
,-0.10834,-0.28208,0
,0.08351,-0.04071,0
,-0.1968,-0.23283,0
,-0.02094,-0.06439,0
,-0.5294,-0.25288,0
,-0.18299,-0.08317,0
,-0.75444,-0.09091,0
,-0.39998,0.3901,0
,-0.83091,0.13594,0
,-0.56985,0.67915,0
,-0.96203,0.51923,0
,-0.78774,0.8056,0
,-1.09366,0.68341,0
,-0.86567,0.91216,0
,-1.07977,0.78287,0
,-0.93796,1.00419,0
,-1.01068,0.80339,0
,-0.81169,0.97451,0
,-0.89708,0.56943,0
,-0.71411,0.87301,0
,-0.80313,0.44441,0
,-0.6127,0.7363,0
,-0.82661,0.52918,0
,-0.61811,0.80086,0
,-0.87202,0.52981,0
,-0.65662,0.85596,0
,-0.9215,0.637,0
,-0.7486,0.87522,0
,-0.91038,0.73267,0
,-0.8122,0.85059,0
,-0.93405,0.74498,0
,-0.81686,0.89937,0
,-0.91689,0.71404,0
,-0.78798,0.89195,0
,-0.89069,0.72335,0
,-0.76473,0.84601,0
,-0.856,0.72225,0
,-0.7701,0.81918,0
,-0.87112,0.72651,0
,-0.75053,0.86606,0
,-0.86697,0.78681,0
,-0.77776,0.88485,0
,-0.86224,0.80749,0
,-0.78111,0.88137,0
,-0.89779,0.7835,0
,-0.77535,0.89148,0
,-0.86247,0.7895,0
,-0.78861,0.90111,0
,-0.85805,0.78666,0
,-0.77326,0.86732,0
,-0.86094,0.77797,0
,-0.7409,0.87837,0
,-0.83414,0.68325,0
,-0.55079,0.89021,0
,-0.75676,0.51434,0
,-0.4948,0.88216,0
,-0.86741,0.62721,0
,-0.64076,1.23152,0
,-1.01187,1.16048,0
,-0.7997,1.82429,0
,-1.04442,1.77236,0
,-0.93449,2.04578,0
,-1.04193,1.84624,0
,-0.91125,2.02604,0
,-0.96988,1.77236,0
,-0.89487,1.93859,0
,-1.04836,1.81214,0
,-0.89653,2.01326,0
,-1.17156,1.99037,0
,-1.00666,2.37192,0
,-1.259,2.3364,0
