Date,U1
"24/06/20" "12:21:41",0.91474
,1.12373
,0.8516
,1.00203
,0.77015
,0.93605
,0.71727
,0.83708
,0.67465
,0.75231
,0.61798
,0.6928
,0.57947
,0.64655
,0.52517
,0.6254
,0.50749
,0.57742
,0.47339
,0.56558
,0.45098
,0.52122
,0.4112
,0.4816
,0.35327
,0.46219
,0.33827
,0.4183
,0.1187
,0.34932
,0.10545
,0.16148
,0.07056
,0.13133
,0.01831
,0.11239
,-0.02083
,0.07088
,-0.08271
,0.0251
,-0.13243
,-0.00868
,-0.16511
,-0.04925
,-0.20583
,-0.0925
,-0.22067
,-0.14175
,-0.24514
,-0.18737
,-0.28823
,-0.21799
,-0.30717
,-0.2404
,-0.38247
,-0.25777
,-0.37473
,-0.28665
,-0.40962
,-0.29865
,-0.4213
,-0.3359
,-0.46739
,-0.37315
,-0.49059
,-0.40599
,-0.52122
,-0.42004
,-0.543
,-0.43582
,-0.58767
,-0.45476
,-0.60993
,-0.48712
,-0.63471
,-0.51033
,-0.63803
,-0.543
,-0.6557
,-0.56415
,-0.68096
,-0.59477
,-0.7059
,-0.60725
,-0.73431
,-0.64876
,-0.74252
,-0.67812
,-0.7894
,-0.6999
,-0.79698
,-0.71616
,-0.80471
,-0.71379
,-0.79414
,-0.7078
,-0.77662
,-0.69675
,-0.83486
,-0.73084
,-0.91742
,-0.74205
,-0.99445
,-0.85175
,-1.1261
,-0.94757
,-1.22633
,-1.04354
,-1.30289
,-1.1452
,-1.36224
,-1.22838
,-1.41733
,-1.29626
,-1.48489
,-1.3654
,-1.54408
,-1.41512
,-1.62017
,-1.48299
,-1.69735
,-1.57092
,-1.78827
,-1.644
,-1.89293
,-1.76018
,-1.99158
,-1.86452
,-2.07493
,-1.96822
,-2.14533
,-2.05346
,-2.20089
,-2.12513
,-2.25614
,-2.181
,-2.30176
,-2.23799
,-2.34564
,-2.28045
,-2.38526
,-2.30476
,-2.4162
,-2.35811
,-2.46056
,-2.38289
,-2.48471
,-2.42757
,-2.5207
,-2.45945
,-2.57389
,-2.50128
,-2.60388
,-2.53711
,-2.64145
,-2.58305
,-2.68265
,-2.61509
,-2.71659
,-2.65013
,-2.73821
,-2.67791
,-2.76694
,-2.70159
,-2.78888
,-2.73
,-2.81714
,-2.75337
,-2.83955
,-2.78225
,-2.87775
,-2.81366
,-2.90727
,-2.83703
,-2.94942
,-2.86812
,-2.97199
,-2.90048
,-3.00087
,-2.94073
,-3.02597
,-2.95478
,-3.05612
,-2.9903
,-3.09164
,-3.02518
,-3.11468
,-3.06149
,-3.17309
,-3.09622
,-3.20561
,-3.11989
,-3.22313
,-3.15999
,-3.23575
,-3.16346
,-3.2356
,-3.17056
,-3.20545
,-3.15509
,-3.19645
,-3.14041
,-3.20055
,-3.13078
,-3.17751
,-3.127
,-3.23528
,-3.12763
,-3.29826
,-3.18114
,-3.34072
,-3.25012
,-3.39755
,-3.31215
,-3.44569
,-3.38382
,-3.47805
,-3.41128
,-3.52888
,-3.44585
,-3.55966
,-3.47569
,-3.58444
,-3.51657
,-3.62075
,-3.55208
,-3.646
,-3.58697
,-3.64443
,-3.40623
,-3.5333
,-3.44459
,-3.5876
,-3.48279
,-3.66589
,-3.43796
,-3.59486
,-3.4831
,-3.66211
,-3.47711
,-3.66005
,-3.4438
,-3.57955
,-3.42328
,-3.63575
,-3.39392
,-3.66416
,-3.41807
,-3.63827
,-3.43338
,-3.65011
,-3.55777
,-3.72525
,-3.6258
,-3.85247
,-3.60638
,-3.8419
,-3.5966
,-3.88436
,-3.68152
,-3.90504
,-3.63496
,-3.8831
,-3.68563
,-3.88751
,-3.69399
,-3.91719
,-3.72556
,-3.88815
,-3.74277
,-3.94024
,-3.74435
,-3.97749
