Date,U1,U3
"24/06/20" "16:19:17",-0.93346,1.89723
,-0.76485,2.13513
,-0.86839,1.84908
,-0.72717,2.05872
,-0.76367,1.73068
,-0.62327,1.90401
,-0.7778,1.71789
,-0.61574,2.02257
,-0.72113,1.78057
,-0.58125,2.12534
,-0.64991,1.48583
,-0.5249,2.02873
,-0.66944,1.24225
,-0.42918,1.68048
,-0.62556,1.23846
,-0.34943,1.73115
,-0.63326,1.17342
,-0.32501,1.68458
,-0.64285,1.24793
,-0.36016,1.68711
,-0.61128,1.42379
,-0.39733,1.88507
,-0.55446,1.67322
,-0.39824,1.98926
,-0.55758,1.76478
,-0.43237,1.99479
,-0.56511,1.67922
,-0.43577,1.92469
,-0.57833,1.64764
,-0.4622,1.89217
,-0.54901,1.66422
,-0.46485,1.81403
,-0.52096,1.58481
,-0.36541,1.79477
,-0.45644,1.44984
,-0.32287,1.65364
,-0.39193,1.29135
,-0.2994,1.56713
,-0.40495,0.98572
,-0.31621,1.35686
,-0.3894,0.8959
,-0.28231,1.13459
,-0.39875,0.81633
,-0.28811,1.05313
,-0.4259,0.71625
,-0.31668,0.91247
,-0.41079,0.62753
,-0.30547,0.83686
,-0.40298,0.54607
,-0.29573,0.80165
,-0.43261,0.55981
,-0.276,0.81097
,-0.40842,0.56154
,-0.26665,0.7936
,-0.30516,0.65515
,-0.20829,0.86622
,-0.27138,0.72509
,-0.15616,0.91895
,-0.2266,0.78318
,-0.12613,0.95983
,-0.18603,0.82628
,-0.09117,1.01003
,-0.15928,0.83433
,-0.07689,0.98951
,-0.15005,0.83086
,-0.0527,0.99677
,-0.12803,0.77276
,-0.04643,0.90837
,-0.11339,0.67063
,-0.03048,0.85469
,-0.09575,0.60227
,-0.01312,0.8097
,-0.11402,0.5377
,-0.00495,0.70693
,-0.05972,0.48356
,0.01067,0.62074
,-0.06785,0.42483
,0.03727,0.55191
,-0.03538,0.38205
,0.05518,0.51876
,-0.0151,0.32853
,0.04311,0.50234
,-0.00298,0.30486
,0.07803,0.43936
,0.01572,0.27107
,0.10285,0.40794
,0.0132,0.14573
,0.11042,0.36484
,0.03328,0.08906
,0.21053,0.25055
,0.17415,-0.24861
,0.45123,0.23082
,0.27639,-0.91401
,0.57493,-0.09564
,0.29856,-1.34766
,0.57935,-0.63191
,0.36043,-1.53315
,0.63219,-1.04456
,0.39382,-1.58982
,0.68696,-1.21064
,0.36083,-1.66292
,0.64217,-1.23732
,0.32871,-1.51421
,0.57529,-1.11166
,0.30981,-1.33614
,0.50738,-0.97242
,0.30484,-1.23021
,0.50284,-0.96942
,0.29552,-1.26447
,0.48572,-1.03604
,0.32176,-1.3022
,0.51342,-1.04109
,0.36363,-1.3715
,0.54668,-1.02988
,0.37977,-1.40544
,0.56329,-1.11971
,0.43158,-1.56094
,0.57773,-1.29273
,0.41532,-1.70585
,0.62331,-1.31467
,0.41059,-1.71912
,0.61344,-1.43401
,0.39962,-1.64066
,0.55232,-1.28752
,0.38166,-1.47285
,0.53007,-1.26983
,0.36067,-1.49874
,0.53322,-1.23068
,0.38975,-1.52826
,0.56874,-1.21411
,0.41003,-1.55036
,0.55437,-1.35256
,0.42862,-1.56599
,0.55059,-1.4146
,0.42605,-1.55541
,0.54052,-1.35666
,0.40893,-1.56172
,0.53973,-1.29762
,0.182,-1.49179
,0.51847,-1.19659
,0.19408,-1.46006
,0.40648,-0.8837
,0.29568,-1.32335
,0.68751,-0.83902
,0.59608,-1.84872
,1.02772,-1.25121
,0.8878,-2.18387
,1.10834,-1.67791
,0.90686,-2.20249
,1.12913,-1.92134
,0.87407,-2.06973
,1.04303,-1.78352
,0.84811,-2.00327
,1.04197,-1.81068
,0.97674,-2.29721
,1.2189,-1.96901
,1.13,-2.48144
,1.36865,-2.25601
,1.27509,-2.50212
,1.37007,-2.37662
,1.21298,-2.44213
,1.3353,-2.29042
,1.09409,-2.34268
,1.24739,-2.12972
,1.04927,-2.17471
,1.12613,-1.91708
,1.01395,-1.96538
,1.07192,-1.80941
,1.00638,-1.8653
,1.07247,-1.76679
,1.01076,-1.87524
,1.08423,-1.77547
,0.99134,-1.88029
,1.06201,-1.81794
,0.981,-1.87887
,1.04658,-1.79678
,0.96194,-1.90097
,1.0452,-1.7881
,0.95504,-1.91423
,1.03317,-1.81604
,0.94494,-1.91644
,1.02003,-1.84067
,0.96033,-1.93855
,1.03337,-1.82804
,0.96909,-2.18134
,1.07188,-1.91187
,0.95681,-2.1916
,1.07906,-2.11425
,0.91207,-2.13493
,1.02875,-2.00216
,0.85272,-2.21686
,0.9391,-2.09309
,0.76576,-2.24417
,0.87873,-2.11267
,0.75108,-2.21718
,0.88642,-1.98164
,0.83055,-1.9998
,1.04035,-1.78921
,0.95922,-1.88661
,1.09591,-1.66228
,1.02697,-1.75321
,1.11512,-1.57372
,1.02307,-1.60514
,1.13103,-1.4247
,0.96546,-1.45501
,1.09859,-1.255
,0.89139,-1.58667
,1.16603,-1.14197
,0.87249,-1.54515
,1.23105,-1.05893
,0.84815,-1.39313
,1.08478,-0.93169
,0.78268,-1.16596
,0.96846,-0.83587
,0.68498,-1.10787
