Date,U1
"24/06/20" "12:57:06",3.1944
,3.24775
,3.20182
,3.26464
,3.21934
,3.26812
,3.22992
,3.28138
,3.23686
,3.30584
,3.25138
,3.30316
,3.25517
,3.32258
,3.27696
,3.33678
,3.31595
,3.37435
,3.33426
,3.4266
,3.37987
,3.46827
,3.44396
,3.52794
,3.50458
,3.57734
,3.52999
,3.61823
,3.55398
,3.66542
,3.60907
,3.70394
,3.62454
,3.7756
,3.64553
,3.79676
,3.68752
,3.80496
,3.68468
,3.78271
,3.67379
,3.74403
,3.63843
,3.74309
,3.61381
,3.75114
,3.57876
,3.74024
,3.55414
,3.6962
,3.54088
,3.6801
,3.52162
,3.63591
,3.51578
,3.60702
,3.488
,3.58271
,3.47869
,3.54009
,3.45501
,3.51862
,3.42802
,3.52825
,3.37151
,3.48753
,3.41476
,3.48642
,3.31452
,3.45091
,3.309
,3.36867
,3.21445
,3.38398
,3.2064
,3.33094
,3.11627
,3.32984
,3.16883
,3.29258
,3.12732
,3.28201
,3.13821
,3.19314
,3.10537
,3.24633
,3.09322
,3.22502
,3.07996
,3.21666
,3.05644
,3.18635
,3.03513
,3.1371
,3.01556
,3.09717
,3.02456
,3.09117
,3.0083
,3.07886
,2.97878
,3.04871
,2.94942
,3.02124
,2.92637
,2.99725
,2.91469
,2.97704
,2.89449
,2.97483
,2.87697
,2.96031
,2.84982
,2.93221
,2.81477
,2.88991
,2.769
,2.85376
,2.56632
,2.81304
,2.53238
,2.59
,2.48676
,2.58052
,2.48218
,2.54817
,2.44651
,2.51739
,2.43009
,2.50097
,2.41683
,2.47634
,2.40421
,2.47461
,2.38716
,2.45125
,2.37785
,2.43736
,2.36206
,2.44556
,2.36253
,2.43751
,2.35101
,2.42931
,2.34391
,2.39947
,2.33128
,2.4192
,2.3256
,2.40736
,2.32402
,2.38148
,2.30524
,2.38369
,2.27351
,2.37011
,2.22158
,2.31534
,2.20563
,2.27619
,2.16601
,2.23389
,2.13728
,2.19237
,2.09751
,2.15465
,2.04699
,2.12402
,2.02221
,2.08219
,1.99869
,2.04778
,1.94565
,2.01448
,1.91393
,1.97643
,1.88978
,1.95639
,1.85836
,1.92213
,1.83137
,1.88914
,1.80106
,1.86263
,1.76129
,1.8208
,1.73256
,1.7957
,1.70241
,1.7676
,1.66705
,1.72088
,1.64227
,1.70241
,1.60438
,1.67052
,1.56713
,1.63548
,1.55103
,1.60344
,1.51094
,1.56476
,1.46926
,1.52751
,1.45111
,1.51362
,1.41007
,1.4669
,1.38118
,1.44117
,1.35656
,1.40123
,1.30573
,1.37329
,1.28174
,1.34598
,1.24591
,1.31741
