Date,U1,U3,Aux1
"24/06/20" "15:55:13",-1.04608,1.84734,0
,-0.96037,2.0251,0
,-1.01404,1.8917,0
,-0.92892,2.02304,0
,-0.97746,1.83013,0
,-0.90047,1.92248,0
,-1.06442,1.87607,0
,-0.93046,2.14728,0
,-1.21918,2.12787,0
,-1.03743,2.47659,0
,-1.28705,2.45196,0
,-1.15455,2.5762,0
,-1.28172,2.30483,0
,-1.18635,2.53531,0
,-1.21883,2.12865,0
,-1.12614,2.33072,0
,-1.14839,2.06646,0
,-1.02808,2.1828,0
,-1.07208,1.98231,0
,-0.98831,2.10497,0
,-1.04947,1.9269,0
,-0.98582,2.04309,0
,-1.03866,1.84782,0
,-0.97529,1.9831,0
,-1.01601,1.81656,0
,-0.93346,1.91254,0
,-1.00184,1.75673,0
,-0.92817,1.87307,0
,-0.99494,1.76115,0
,-0.91752,1.88254,0
,-1.00342,1.8254,0
,-0.9292,1.93022,0
,-0.99861,1.8254,0
,-0.90986,1.90575,0
,-0.98132,1.77646,0
,-0.91677,1.87639,0
,-0.97738,1.79209,0
,-0.90438,1.92817,0
,-1.08167,1.91238,0
,-0.93709,2.10276,0
,-1.15625,1.9138,0
,-1.05507,2.07719,0
,-1.14693,1.69453,0
,-1.08001,1.95721,0
,-1.14954,1.62838,0
,-1.05614,1.76115,0
,-1.1388,1.5654,0
,-1.00003,1.68301,0
,-1.04919,1.63659,0
,-0.95445,1.79777,0
,-0.99711,1.686,0
,-0.90146,1.95895,0
,-0.99107,1.88065,0
,-0.86165,2.1004,0
,-0.92135,1.95532,0
,-0.83706,2.11792,0
,-0.87325,1.84387,0
,-0.77957,2.07419,0
,-0.80617,1.68522,0
,-0.69655,1.91001,0
,-0.85083,1.76131,0
,-0.65366,2.13592,0
,-0.78435,1.67559,0
,-0.60138,1.96937,0
,-0.69967,1.39096,0
,-0.58461,1.94758,0
,-0.66873,1.2132,0
,-0.53998,1.62333,0
,-0.64052,1.32686,0
,-0.49685,1.60755,0
,-0.66889,1.39869,0
,-0.49196,1.61118,0
,-0.70054,1.44684,0
,-0.51532,1.81987,0
,-0.69564,1.62744,0
,-0.58346,1.89612,0
,-0.66976,1.73968,0
,-0.57079,2.01294,0
,-0.63125,1.73952,0
,-0.56259,1.97205,0
,-0.62931,1.56429,0
,-0.50237,1.83929,0
,-0.55848,1.4631,0
,-0.46789,1.68806,0
,-0.53836,1.41606,0
,-0.46055,1.56524,0
,-0.52116,1.34518,0
,-0.42346,1.53919,0
,-0.48919,1.25788,0
,-0.39828,1.45,0
,-0.46114,1.16127,0
,-0.36411,1.37928,0
,-0.40637,1.01019,0
,-0.31865,1.26482,0
,-0.40708,0.90063,0
,-0.31242,1.14595,0
,-0.39019,0.79486,0
,-0.28121,1.01998,0
,-0.39406,0.70488,0
,-0.29427,0.93584,0
,-0.39445,0.63337,0
,-0.2964,0.84775,0
