Date,U1,U3,Aux1
,0.44935,-0.37602,0
,0.34131,-1.11467,0
,0.5132,-0.81552,0
,0.40157,-1.26227,0
,0.60135,-0.99974,0
,0.50191,-1.41634,0
,0.64767,-1.0239,0
,0.49074,-1.50743,0
,0.69392,-1.10456,0
,0.49437,-1.48391,0
,0.65414,-1.18539,0
,0.46932,-1.43418,0
,0.57341,-1.17592,0
,0.42635,-1.30773,0
,0.5482,-1.10172,0
,0.4237,-1.24412,0
,0.55052,-0.98269,0
,0.43992,-1.28737,0
,0.57763,-1.00716,0
,0.4602,-1.30458,0
,0.60245,-1.03968,0
,0.51738,-1.36914,0
,0.63118,-1.19013,0
,0.50621,-1.42787,0
,0.64763,-1.2056,0
,0.50672,-1.43576,0
,0.62202,-1.18507,0
,0.5085,-1.39914,0
,0.59539,-1.14498,0
,0.49643,-1.31058,0
,0.58142,-1.16139,0
,0.50949,-1.38051,0
,0.59057,-1.23085,0
,0.51837,-1.52022,0
,0.6139,-1.27237,0
,0.51316,-1.54658,0
,0.64175,-1.26969,0
,0.50156,-1.52259,0
,0.62944,-1.31168,0
,0.51012,-1.4858,0
,0.60596,-1.37483,0
,0.5272,-1.47444,0
,0.60545,-1.35304,0
,0.45874,-1.48691,0
,0.58994,-1.32794,0
,0.38034,-1.42818,0
,0.49406,-1.08341,0
,0.39742,-1.23464,0
,0.63658,-0.95159,0
,0.58714,-1.66924,0
,0.85996,-1.20544,0
,0.85258,-2.02144,0
,1.02289,-1.63404,0
,0.96749,-2.10621,0
,1.07414,-1.9455,0
,0.96899,-2.1111,0
,1.05725,-1.98955,0
,0.96587,-2.08379,0
,1.04853,-1.97708,0
,1.01065,-2.25776,0
,1.16139,-2.03328,0
,1.1183,-2.40347,0
,1.25313,-2.23282,0
,1.18944,-2.38973,0
,1.26489,-2.23881,0
,1.13234,-2.28033,0
,1.25305,-2.06232,0
,1.09908,-2.10731,0
,1.18731,-2.01796,0
,1.03457,-2.06911,0
,1.12414,-1.9875,0
,0.99459,-2.02854,0
,1.09809,-1.84668,0
,0.96457,-1.8983,0
,1.06045,-1.78432,0
,0.9577,-1.83642,0
,1.02585,-1.7466,0
,0.94421,-1.78985,0
,1.00939,-1.70776,0
,0.94515,-1.78874,0
,1.01539,-1.72465,0
,0.9388,-1.8331,0
,1.02656,-1.75291,0
,0.96374,-1.84968,0
,1.03204,-1.77343,0
,0.962,-1.91377,0
,1.03212,-1.81953,0
,0.96559,-1.9474,0
,1.03709,-1.86641,0
,0.94456,-2.0639,0
,1.04459,-1.86562,0
,1.00099,-2.13573,0
,1.0786,-2.03454,0
,0.99179,-2.10084,0
,1.07193,-1.8732,0
,0.92136,-2.09674,0
,1.0524,-1.85884,0
,0.87874,-2.12594,0
,0.9723,-2.02491,0
,0.84828,-2.09753,0
,0.94507,-1.97676,0
,0.8366,-2.09547,0
,1.0114,-1.79901,0
,0.94409,-1.90556,0
,1.05769,-1.75922,0
,0.98181,-1.82837,0
,1.08057,-1.6563,0
,0.97921,-1.70381,0
,1.07521,-1.55826,0
,0.96618,-1.60373,0
,1.0479,-1.42029,0
,0.90806,-1.51327,0
,1.03354,-1.26811,0
,0.86249,-1.60562,0
,1.03405,-1.19676,0
,0.81861,-1.50175,0
,1.06325,-1.0853,0
,0.76175,-1.3442,0
,0.95281,-0.96249,0
,0.7071,-1.25153,0
,0.90648,-0.89618,0
,0.73689,-1.27727,0
,0.92053,-0.81204,0
,0.80499,-1.23385,0
,0.9242,-1.04884,0
,0.84698,-1.31989,0
,1.00837,-0.96264,0
,0.78195,-1.50364,0
,1.0378,-0.96943,0
,0.74044,-1.53285,0
,1.02423,-1.00322,0
,0.6839,-1.45644,0
,0.98382,-0.84693,0
,0.61772,-1.39756,0
,0.90269,-0.78978,0
,0.58458,-1.31436,0
,0.8106,-0.81851,0
,0.59105,-1.26574,0
,0.84382,-0.75284,0
,0.55921,-1.19044,0
,0.79387,-0.67517,0
